名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·万和斐丽 3室1厅 东/西,大兴,瀛海,万和斐丽,90.00,东 西,3室1厅1卫,5600
整租·中和家园 4室2厅 东/西,朝阳,南沙滩,中和家园,133.60,东 西,4室2厅1卫,10000
整租·新通国际花园 2室1厅 东/西,通州,梨园,新通国际花园,95.00,东 西,2室1厅1卫,5400
整租·荣丰2008 1室0厅 西,西城,广安门,荣丰2008,33.98,西,1室0厅2卫,4100
整租·西营前街 1室1厅 北,通州,万达,西营前街,24.00,北,1室1厅1卫,2980
整租·北花园小区1号院 1室0厅 南,朝阳,双桥,北花园小区1号院,51.16,南,1室0厅1卫,4300
整租·双惠小区 2室1厅 南/北,朝阳,双桥,双惠小区,89.40,南 北,2室1厅1卫,6000
整租·方安苑 2室2厅 西,丰台,宋家庄,方安苑,105.79,西,2室2厅1卫,7300
整租·民康胡同30号院 1室1厅 北,西城,金融街,民康胡同30号院,48.00,北,1室1厅1卫,9000
整租·中关村东路 2室1厅 南/北,海淀,双榆树,中关村东路,76.69,南 北,2室1厅1卫,9300
整租·设计师广场 1室0厅 东南,丰台,科技园区,设计师广场,34.38,东南,1室0厅1卫,3500
整租·北京人家 4室1厅 南/北,昌平,回龙观,北京人家,132.00,南 北,4室1厅2卫,7800
整租·关东店北街 2室1厅 南,朝阳,东大桥,关东店北街,61.07,南,2室1厅1卫,5300
整租·兴海家园日苑 2室1厅 南/北,大兴,西红门,兴海家园日苑,85.00,南 北,2室1厅1卫,5000
整租·国惠村 2室1厅 南/北,昌平,南邵,国惠村,81.30,南 北,2室1厅1卫,4300
整租·中海寰宇时代 2室1厅 南/北,大兴,瀛海,中海寰宇时代,70.00,南 北,2室1厅1卫,5000
整租·中海寰宇时代 2室1厅 南/北,大兴,瀛海,中海寰宇时代,70.23,南 北,2室1厅1卫,4800
整租·管庄西里 1室1厅 东,朝阳,管庄,管庄西里,47.18,东,1室1厅1卫,4000
整租·北京邮电大学 3室1厅 东/南,海淀,小西天,北京邮电大学,78.20,东 南,3室1厅1卫,9500
整租·苗圃西里 2室1厅 南,丰台,大红门,苗圃西里,51.00,南,2室1厅1卫,4800
整租·顺四条37号院 2室1厅 西南,丰台,刘家窑,顺四条37号院,73.10,西南,2室1厅1卫,4200
整租·王府公寓三区 2室1厅 南/北,昌平,北七家,王府公寓三区,102.16,南 北,2室1厅1卫,5500
整租·当代城市家园 1室1厅 北,海淀,上地,当代城市家园,54.00,北,1室1厅1卫,5900
整租·建邦枫景 3室1厅 东/西,丰台,青塔,建邦枫景,89.00,东 西,3室1厅1卫,6000
整租·冠庭园 1室1厅 南/北,昌平,回龙观,冠庭园,60.89,南 北,1室1厅1卫,5300
整租·瑞都国际南区 2室1厅 南,通州,九棵树(家乐福),瑞都国际南区,84.90,南,2室1厅1卫,7000
整租·京贸国际城 1室1厅 南,通州,武夷花园,京贸国际城,68.09,南,1室1厅1卫,4500
整租·宏塔社区 2室1厅 南/北,房山,燕山,宏塔社区,59.79,南 北,2室1厅1卫,1700
整租·兰园 1室1厅 南,海淀,马连洼,兰园,59.07,南,1室1厅1卫,5500
整租·天通苑中苑 2室1厅 西南/北,昌平,天通苑,天通苑中苑,101.27,西南 北,2室1厅1卫,6800
整租·玉林里小区 1室1厅 东,丰台,右安门外,玉林里小区,46.84,东,1室1厅1卫,4900
整租·顺八条1号院 3室1厅 南/北,丰台,宋家庄,顺八条1号院,120.00,南 北,3室1厅1卫,8000
整租·厂洼小区 3室1厅 南/北,海淀,厂洼,厂洼小区,70.60,南 北,3室1厅1卫,12000
整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,92.90,南 北,2室1厅2卫,6600
整租·慧时欣园二期 2室2厅 东南,丰台,木樨园,慧时欣园二期,101.74,东南,2室2厅2卫,7300
整租·新中关 1室0厅 西北,海淀,苏州桥,新中关,72.56,西北,1室0厅1卫,8800
整租·鸿坤理想城八期 1室1厅 南,大兴,西红门,鸿坤理想城八期,45.42,南,1室1厅1卫,3500
整租·南三环东路 1室1厅 北,丰台,刘家窑,南三环东路,45.03,北,1室1厅1卫,4700
整租·蓝天园 3室1厅 南/北,昌平,霍营,蓝天园,81.00,南 北,3室1厅1卫,5900
整租·北京印象 1室1厅 东,海淀,定慧寺,北京印象,81.00,东,1室1厅1卫,8800
整租·管庄西里 2室1厅 南/北,朝阳,管庄,管庄西里,59.90,南 北,2室1厅1卫,4300
整租·矩阵二期 1室1厅 南/北,昌平,回龙观,矩阵二期,53.84,南 北,1室1厅1卫,5000
整租·流星花园三区 3室2厅 南/北,昌平,回龙观,流星花园三区,122.20,南 北,3室2厅2卫,9000
整租·郁花园二里 2室1厅 南/北,大兴,高米店,郁花园二里,71.55,南 北,2室1厅1卫,4500
整租·八角南路 2室1厅 南,石景山,八角,八角南路,50.03,南,2室1厅1卫,4700
整租·清华东路9号院 1室1厅 南,海淀,学院路,清华东路9号院,55.00,南,1室1厅1卫,7100
整租·龙腾苑五区 3室1厅 南/北,昌平,回龙观,龙腾苑五区,111.00,南 北,3室1厅1卫,6200
整租·茂华景公阁 1室1厅 南,石景山,杨庄,茂华景公阁,60.00,南,1室1厅1卫,6500
整租·溪城家园 2室1厅 南/西,昌平,立水桥,溪城家园,84.04,南 西,2室1厅1卫,6000
整租·三义庙北 1室1厅 南,海淀,苏州桥,三义庙北,41.90,南,1室1厅1卫,5700
整租·点击未来 1室0厅 东北,朝阳,望京,点击未来,50.02,东北,1室0厅1卫,4500
整租·塔院胡同12号院 1室1厅 南,西城,六铺炕,塔院胡同12号院,40.40,南,1室1厅1卫,6700
整租·宏福园 2室1厅 南/北,大兴,西红门,宏福园,77.81,南 北,2室1厅1卫,4300
整租·海户西里 3室1厅 东/西,丰台,洋桥,海户西里,80.20,东 西,3室1厅1卫,6500
整租·远中悦莱 1室1厅 东,海淀,苏州桥,远中悦莱,75.00,东,1室1厅1卫,6500
整租·天居园 2室2厅 东,朝阳,奥林匹克公园,天居园,132.83,东,2室2厅2卫,10300
整租·革新里24号院 2室1厅 东,东城,永定门,革新里24号院,60.00,东,2室1厅1卫,5300
整租·DBC加州小镇C区 2室1厅 南,通州,临河里,DBC加州小镇C区,93.18,南,2室1厅1卫,3800
整租·慧忠北里 1室1厅 东,朝阳,亚运村,慧忠北里,65.00,东,1室1厅1卫,6400
整租·金沟河3号院 2室1厅 南/北,海淀,五棵松,金沟河3号院,56.49,南 北,2室1厅1卫,5500
整租·杨庄北街3号院 1室1厅 南/北,通州,通州北苑,杨庄北街3号院,55.00,南 北,1室1厅1卫,4100
整租·紫金新干线 2室1厅 南,昌平,霍营,紫金新干线,82.30,南,2室1厅1卫,6200
整租·涧桥山 2室1厅 西南,密云,果园街道,涧桥山,68.54,西南,2室1厅1卫,2400
整租·同馨家园 2室1厅 南/北,丰台,青塔,同馨家园,79.00,南 北,2室1厅1卫,5400
整租·富润家园 1室0厅 北,海淀,学院路,富润家园,55.00,北,1室0厅1卫,6800
整租·城华园 2室1厅 北,海淀,学院路,城华园,62.15,北,2室1厅1卫,6600
整租·清秀园北区 2室1厅 南/北,昌平,东关,清秀园北区,79.54,南 北,2室1厅1卫,3000
整租·大有庄100号院 4室2厅 南/北,海淀,马连洼,大有庄100号院,140.00,南 北,4室2厅2卫,14000
整租·北欧印象 1室0厅 北,西城,马连道,北欧印象,43.98,北,1室0厅1卫,4100
整租·北京新天地三期 1室1厅 西北,朝阳,常营,北京新天地三期,68.88,西北,1室1厅1卫,5600
整租·瑞海家园二区 2室1厅 南/北,大兴,西红门,瑞海家园二区,109.43,南 北,2室1厅1卫,5800
整租·金蝉南里 1室1厅 北,朝阳,欢乐谷,金蝉南里,55.00,北,1室1厅1卫,4800
整租·中国铁建国际城 2室1厅 南/北,朝阳,北苑,中国铁建国际城,57.80,南 北,2室1厅1卫,6000
整租·庚坊国际 1室1厅 北,海淀,北太平庄,庚坊国际,50.60,北,1室1厅1卫,5800
整租·金世纪嘉园 2室1厅 西南,东城,广渠门,金世纪嘉园,66.01,西南,2室1厅1卫,6800
整租·金隅·金麟府 1室1厅 东/西,大兴,亦庄开发区其它,金隅·金麟府,60.00,东 西,1室1厅1卫,4600
整租·柏林爱乐二期 2室1厅 东/北,朝阳,常营,柏林爱乐二期,72.00,东 北,2室1厅1卫,5800
整租·农光里 2室2厅 南,朝阳,劲松,农光里,102.00,南,2室2厅1卫,8200
