名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·智联花园 3室2厅 东南/南,番禺,莲花山,智联花园,84.00,东南 南,3室2厅1卫,2700
整租·锦绣香江花园百合园 3室2厅 南,番禺,汉溪长隆,锦绣香江花园百合园,200.00,南,3室2厅3卫,9500
整租·南洲花苑AB区 1室1厅 东南,海珠,南洲,南洲花苑AB区,43.50,东南,1室1厅1卫,1900
整租·碧桂园朝花 1室1厅 东/东南,荔湾,鹤洞,碧桂园朝花,33.00,东 东南,1室1厅1卫,2000
整租·瘦狗岭路9号大院 2室1厅 西北,天河,燕塘,瘦狗岭路9号大院,40.00,西北,2室1厅1卫,2600
整租·海印苑 3室2厅 西南,越秀,东湖,海印苑,85.00,西南,3室2厅1卫,6000
整租·越秀岭南山畔 4室2厅 南,黄埔,科学城,越秀岭南山畔,129.00,南,4室2厅2卫,8200
整租·洲山大厦 1室1厅 南,番禺,钟村,洲山大厦,43.00,南,1室1厅1卫,1200
整租·万科东荟城 2室2厅 北,黄埔,香雪,万科东荟城,76.00,北,2室2厅1卫,3700
整租·荔福大厦 2室1厅 东南/东北,海珠,沙园,荔福大厦,70.00,东南 东北,2室1厅1卫,4400
整租·石岗村东区团结苑 2室1厅 北,花都,花城街,石岗村东区团结苑,65.00,北,2室1厅1卫,1800
整租·广园西路 1室1厅 南,越秀,桂花岗,广园西路,25.00,南,1室1厅1卫,1600
整租·嘉裕君玥公馆 3室2厅 西南,天河,珠江新城西,嘉裕君玥公馆,145.29,西南,3室2厅2卫,14000
整租·品秀·星樾 3室2厅 北,黄埔,香雪,品秀·星樾,100.00,北,3室2厅2卫,4200
整租·金碧花园第二金碧 2室1厅 北,海珠,金碧,金碧花园第二金碧,68.00,北,2室1厅1卫,4200
整租·中山三路 2室1厅 东,越秀,东川路,中山三路,68.00,东,2室1厅2卫,4300
