名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·书香门第上河坊 1室1厅 东北,龙华区,梅林关,书香门第上河坊,42.59,东北,1室1厅1卫,4300
整租·惠名花园 2室1厅 南,罗湖区,莲塘,惠名花园,47.00,南,2室1厅1卫,4000
整租·玺云著花园 3室2厅 东南,光明区,公明,玺云著花园,89.00,东南,3室2厅1卫,5000
整租·中海怡翠山庄四期 1室1厅 南,龙岗区,布吉水径,中海怡翠山庄四期,45.00,南,1室1厅1卫,2100
整租·兴围华府 3室2厅 南,宝安区,福永,兴围华府,80.00,南,3室2厅2卫,4800
整租·碧海湾花园 3室1厅 南/北,宝安区,西乡,碧海湾花园,90.00,南 北,3室1厅1卫,5000
整租·奥园翡翠东湾 2室2厅 北,坪山区,坪山,奥园翡翠东湾,64.56,北,2室2厅1卫,2600
整租·阳光科创中心 2室1厅 东北,南山区,南山中心,阳光科创中心,56.38,东北,2室1厅1卫,6400
整租·卓越皇后道 3室2厅 东南,龙华区,红山,卓越皇后道,88.80,东南,3室2厅2卫,6300
整租·赛格ECO中心 1室1厅 西北,龙岗区,布吉水径,赛格ECO中心,41.14,西北,1室1厅1卫,3000
整租·京基御景半山 3室2厅 南,龙岗区,龙岗宝荷,京基御景半山,78.66,南,3室2厅2卫,3500
整租·金地翠园 2室2厅 南,福田区,石厦,金地翠园,75.42,南,2室2厅1卫,8500
整租·华盛珑悦 1室1厅 西南,龙华区,龙华中心,华盛珑悦,44.08,西南,1室1厅1卫,4200
整租·新一代国际公寓 1室1厅 南,南山区,后海,新一代国际公寓,36.19,南,1室1厅1卫,4500
整租·启迪协信科技园 2室1厅 南,龙岗区,大运新城,启迪协信科技园,72.67,南,2室1厅1卫,3500
整租·碧海富通城五期 2室2厅 西北,宝安区,碧海,碧海富通城五期,85.39,西北,2室2厅1卫,7000
整租·和谐家园 2室1厅 东南,龙岗区,布吉大芬,和谐家园,66.02,东南,2室1厅1卫,4600
整租·君成雍和园 2室2厅 东北,宝安区,西乡,君成雍和园,53.00,东北,2室2厅1卫,5000
整租·金地龙城中央三期 1室1厅 南,龙岗区,龙岗中心城,金地龙城中央三期,43.00,南,1室1厅1卫,2880
整租·星河智荟 3室2厅 东南,龙岗区,横岗,星河智荟,88.90,东南,3室2厅2卫,4000
整租·青青家园 3室2厅 南,龙岗区,布吉街,青青家园,88.50,南,3室2厅1卫,2900
整租·财富广场 2室1厅 西北,福田区,香蜜湖,财富广场,60.86,西北,2室1厅1卫,6300
整租·颐安·都会中央五期 4室2厅 南,龙岗区,大运新城,颐安·都会中央五期,110.00,南,4室2厅2卫,7800
整租·大东城一期 5室2厅 南/西南,坪山区,坪山,大东城一期,133.00,南 西南,5室2厅3卫,6800
整租·名仕阁 1室1厅 北,罗湖区,地王,名仕阁,56.27,北,1室1厅1卫,4300
整租·皇御苑三期 2室1厅 西南,福田区,皇岗,皇御苑三期,69.00,西南,2室1厅1卫,6500
整租·南洋大厦 2室1厅 东,罗湖区,春风路,南洋大厦,51.58,东,2室1厅1卫,5500
整租·远洋新天地水岸花园 3室2厅 东南,龙岗区,龙岗中心城,远洋新天地水岸花园,89.00,东南,3室2厅2卫,4500
整租·中海九号公馆二期 4室2厅 南,宝安区,曦城,中海九号公馆二期,138.55,南,4室2厅2卫,13000
整租·庆安航空大厦 2室1厅 南,福田区,八卦岭,庆安航空大厦,81.00,南,2室1厅1卫,5900
整租·庆安航空大厦 2室1厅 南,福田区,八卦岭,庆安航空大厦,81.00,南,2室1厅1卫,5900
整租·尖岗山壹号花园 4室2厅 东南,宝安区,曦城,尖岗山壹号花园,111.64,东南,4室2厅2卫,10800
整租·鸿荣源天俊 1室1厅 南,龙华区,民治,鸿荣源天俊,39.99,南,1室1厅1卫,4500
整租·观山盛苑 3室1厅 北,罗湖区,布心,观山盛苑,100.00,北,3室1厅2卫,7500
整租·坪山招商花园城北区 3室2厅 东,坪山区,坪山,坪山招商花园城北区,89.00,东,3室2厅1卫,1600
整租·国城花园 1室1厅 南,福田区,百花,国城花园,44.00,南,1室1厅1卫,5300
整租·擎天华庭 4室2厅 南,福田区,景田,擎天华庭,169.40,南,4室2厅2卫,16000
整租·东门168 2室1厅 南,罗湖区,螺岭,东门168,58.00,南,2室1厅1卫,4600
整租·佳兆业可园三期 5室2厅 南,龙岗区,布吉关,佳兆业可园三期,94.15,南,5室2厅2卫,7200
整租·富润·乐庭 3室2厅 南,坪山区,坪山,富润·乐庭,86.00,南,3室2厅2卫,5000
整租·市政大院 2室1厅 南/北,福田区,景田,市政大院,72.00,南 北,2室1厅1卫,6300
整租·丹枫白露城东1号 1室1厅 南,罗湖区,黄贝岭,丹枫白露城东1号,69.28,南,1室1厅1卫,4600
整租·太古城南 1室1厅 西南,南山区,深圳湾,太古城南,40.87,西南,1室1厅1卫,8000
整租·中爱花园 2室1厅 东南,南山区,西丽,中爱花园,58.00,东南,2室1厅1卫,6000
整租·桑泰·龙樾 2室1厅 西南/东北,龙岗区,龙岗双龙,桑泰·龙樾,71.00,西南 东北,2室1厅1卫,3050
整租·都市阳光名苑 2室1厅 北,福田区,车公庙,都市阳光名苑,69.00,北,2室1厅1卫,8300
整租·卓越前海壹号 1室2厅 东南,南山区,前海,卓越前海壹号,109.88,东南,1室2厅2卫,18500
整租·南粤明珠海洋之心 1室1厅 东,南山区,后海,南粤明珠海洋之心,62.00,东,1室1厅1卫,6800
整租·星都·梅沙天邸 2室2厅 东,盐田区,梅沙,星都·梅沙天邸,66.48,东,2室2厅1卫,3800
整租·二期御景佳园 4室2厅 东北,盐田区,盐田港,二期御景佳园,127.00,东北,4室2厅2卫,7500
整租·深物业金领 2室2厅 东南,福田区,皇岗,深物业金领,64.00,东南,2室2厅1卫,8850
整租·加福广场华尔登府邸 2室2厅 南,福田区,福田保税区,加福广场华尔登府邸,78.50,南,2室2厅1卫,6300
整租·阁林网苑 1室0厅 南,福田区,华强北,阁林网苑,32.88,南,1室0厅1卫,3200
整租·佳兆业悦峰 3室2厅 南,龙岗区,坂田,佳兆业悦峰,79.70,南,3室2厅2卫,5500
整租·天俊大厦 1室1厅 南,罗湖区,春风路,天俊大厦,40.00,南,1室1厅1卫,3800
整租·城市山谷三期 1室1厅 南,南山区,科技园,城市山谷三期,44.00,南,1室1厅1卫,5000
整租·深圳湾创新科技中心 1室0厅 东南,南山区,科技园,深圳湾创新科技中心,35.00,东南,1室0厅1卫,6800
整租·仁恒公园世纪四季园 3室2厅 东南,龙岗区,大运新城,仁恒公园世纪四季园,99.00,东南,3室2厅2卫,5000
整租·恒福花园 2室1厅 东/北,福田区,皇岗,恒福花园,47.11,东 北,2室1厅1卫,5400
整租·华新村 3室1厅 南,福田区,华强北,华新村,80.25,南,3室1厅1卫,7000
整租·百仕达乐湖 3室2厅 东北,罗湖区,百仕达,百仕达乐湖,142.01,东北,3室2厅2卫,14800
整租·莲花北 3室2厅 南,福田区,莲花,莲花北,87.88,南,3室2厅1卫,7000
整租·德润荣君府 3室2厅 南,龙岗区,坂田,德润荣君府,102.00,南,3室2厅2卫,7800
整租·阳光海景豪苑 2室1厅 东南,南山区,科技园,阳光海景豪苑,56.95,东南,2室1厅1卫,6800
整租·星湖花园 1室0厅 西北,罗湖区,银湖,星湖花园,37.00,西北,1室0厅1卫,3500
整租·东门天下 2室1厅 东南/南,罗湖区,东门,东门天下,65.23,东南 南,2室1厅1卫,5000
整租·龙光玖悦台 3室2厅 东,龙华区,红山,龙光玖悦台,95.00,东,3室2厅2卫,8000
整租·荟芳园 3室2厅 东北,南山区,南山中心,荟芳园,116.00,东北,3室2厅2卫,9500
整租·天健时尚空间 3室2厅 东南,宝安区,宝安中心,天健时尚空间,72.00,东南,3室2厅3卫,8200
整租·碧桂园领寓 3室2厅 南,宝安区,福永,碧桂园领寓,48.00,南,3室2厅1卫,3600
整租·星河传奇 3室2厅 南/北,龙华区,红山,星河传奇,80.90,南 北,3室2厅1卫,7000
整租·水云间雅居 1室1厅 东南,盐田区,梅沙,水云间雅居,51.68,东南,1室1厅1卫,2600
整租·佳兆业悦峰 3室2厅 南,龙岗区,坂田,佳兆业悦峰,79.70,南,3室2厅2卫,5500
整租·天俊大厦 1室1厅 南,罗湖区,春风路,天俊大厦,40.00,南,1室1厅1卫,3800
整租·招商果岭花园 2室2厅 西南,宝安区,西乡,招商果岭花园,70.49,西南,2室2厅1卫,6000
整租·碧湖玫瑰园 4室2厅 错层 南/北,龙岗区,龙岗中心城,碧湖玫瑰园,126.00,南 北,4室2厅2卫,4800
整租·葵花公寓 1室1厅 北,福田区,石厦,葵花公寓,23.68,北,1室1厅1卫,4900
整租·满京华云晓公馆 3室2厅 东南,宝安区,西乡,满京华云晓公馆,62.00,东南,3室2厅1卫,5700
整租·海康大厦 1室0厅 西,福田区,梅林,海康大厦,25.50,西,1室0厅1卫,4000
整租·汇龙天下 4室2厅 南,龙岗区,龙岗中心城,汇龙天下,88.22,南,4室2厅2卫,3800
整租·旭飞花园 1室1厅 东,福田区,八卦岭,旭飞花园,37.01,东,1室1厅1卫,3600
整租·城市山谷三期 1室1厅 南,南山区,科技园,城市山谷三期,44.00,南,1室1厅1卫,5000
整租·南粤明珠海洋之心 1室1厅 东,南山区,后海,南粤明珠海洋之心,62.00,东,1室1厅1卫,6800
整租·星都·梅沙天邸 2室2厅 东,盐田区,梅沙,星都·梅沙天邸,66.48,东,2室2厅1卫,3800
整租·御河堤 1室0厅 西北,福田区,上步,御河堤,37.43,西北,1室0厅1卫,4300
整租·花样年花郡 2室1厅 西南,宝安区,宝安中心,花样年花郡,50.00,西南,2室1厅1卫,6000
整租·阳光花园四期 3室2厅 南,龙岗区,布吉街,阳光花园四期,91.00,南,3室2厅1卫,4300
整租·云景豪园 3室1厅 东南,罗湖区,春风路,云景豪园,120.00,东南,3室1厅1卫,9500
整租·前海银鸿 2室1厅 东南,宝安区,翻身,前海银鸿,93.13,东南,2室1厅2卫,7200
整租·南光城市花园 2室1厅 西南,南山区,南山中心,南光城市花园,41.31,西南,2室1厅1卫,5600
整租·中海怡翠山庄三期 4室2厅 跃层 东南,龙岗区,布吉水径,中海怡翠山庄三期,94.80,东南,4室2厅2卫,5000
整租·栖游家园 2室1厅 西南,南山区,蛇口,栖游家园,76.90,西南,2室1厅1卫,8800
整租·海川阁 1室1厅 西南,盐田区,盐田港,海川阁,48.00,西南,1室1厅1卫,3000
整租·龙福一村 3室2厅 南/北,龙岗区,龙岗中心城,龙福一村,98.88,南 北,3室2厅1卫,3800
整租·卓越星源 3室2厅 南,龙岗区,平湖,卓越星源,89.00,南,3室2厅1卫,4500
整租·二期御景佳园 4室2厅 东北,盐田区,盐田港,二期御景佳园,127.00,东北,4室2厅2卫,7500
整租·桑泰·龙樾 2室1厅 西南/东北,龙岗区,龙岗双龙,桑泰·龙樾,71.00,西南 东北,2室1厅1卫,3050
整租·富基置地大厦 1室1厅 东南,龙岗区,龙岗双龙,富基置地大厦,39.28,东南,1室1厅1卫,2600
整租·泰康轩 1室0厅 东北,福田区,车公庙,泰康轩,35.47,东北,1室0厅1卫,4300
整租·雅涛花园 2室1厅 东南,宝安区,西乡,雅涛花园,67.00,东南,2室1厅1卫,5000
整租·财富城 4室2厅 西南,坪山区,坪山,财富城,89.08,西南,4室2厅2卫,4100
整租·一城峰景 2室1厅 南,龙岗区,龙岗双龙,一城峰景,57.00,南,2室1厅1卫,2700
整租·福华新村 2室1厅 南,福田区,福田中心,福华新村,68.00,南,2室1厅1卫,6800
整租·35区住宅楼 3室2厅 南,宝安区,新安,35区住宅楼,97.00,南,3室2厅1卫,5000
整租·华侨城四海云亭 3室2厅 东南,宝安区,沙井,华侨城四海云亭,89.27,东南,3室2厅2卫,4188
整租·汇鑫花园 2室1厅 北,罗湖区,黄贝岭,汇鑫花园,54.92,北,2室1厅1卫,5000
整租·时尚新居 1室0厅 东,罗湖区,笋岗,时尚新居,32.57,东,1室0厅1卫,3000
整租·深业鹤塘岭花园 4室2厅 南,南山区,华侨城,深业鹤塘岭花园,164.86,南,4室2厅2卫,21500
整租·阳光第五季 2室2厅 南,龙岗区,坂田,阳光第五季,75.00,南,2室2厅1卫,5700
整租·拾悦城 3室2厅 东南/西北,宝安区,沙井,拾悦城,87.34,东南 西北,3室2厅2卫,4200
整租·玺云著花园 3室2厅 南,光明区,公明,玺云著花园,85.00,南,3室2厅1卫,4600
整租·翰岭院 3室2厅 南/北,福田区,梅林,翰岭院,106.00,南 北,3室2厅2卫,10300
整租·栖游家园 2室2厅 西南,南山区,蛇口,栖游家园,76.00,西南,2室2厅1卫,8800
整租·塘朗城 1室0厅 北,南山区,大学城,塘朗城,40.00,北,1室0厅1卫,5500
整租·仁恒公园世纪四季园 3室2厅 南/北,龙岗区,大运新城,仁恒公园世纪四季园,95.00,南 北,3室2厅2卫,4800
整租·景龙大厦 3室2厅 南,福田区,景田,景龙大厦,103.27,南,3室2厅1卫,7800
整租·仁恒公园世纪四季园 3室2厅 东南,龙岗区,大运新城,仁恒公园世纪四季园,99.00,东南,3室2厅2卫,5000
整租·恒福花园 2室1厅 东/北,福田区,皇岗,恒福花园,47.11,东 北,2室1厅1卫,5400
整租·华新村 3室1厅 南,福田区,华强北,华新村,80.25,南,3室1厅1卫,7000
整租·城市主场 1室0厅 南,福田区,八卦岭,城市主场,44.65,南,1室0厅1卫,4200
整租·加福广场华尔登府邸 2室2厅 南,福田区,福田保税区,加福广场华尔登府邸,78.50,南,2室2厅1卫,6300
整租·阁林网苑 1室0厅 南,福田区,华强北,阁林网苑,32.88,南,1室0厅1卫,3200
整租·都市阳光名苑 2室1厅 北,福田区,车公庙,都市阳光名苑,69.00,北,2室1厅1卫,8300
整租·卓越前海壹号 1室2厅 东南,南山区,前海,卓越前海壹号,109.88,东南,1室2厅2卫,18500
整租·深物业金领 2室2厅 东南,福田区,皇岗,深物业金领,64.00,东南,2室2厅1卫,8850
整租·信义御城豪园 2室1厅 西南,龙岗区,横岗,信义御城豪园,52.12,西南,2室1厅1卫,3600
整租·桃苑小区 1室1厅 东南,南山区,南头,桃苑小区,30.00,东南,1室1厅1卫,3500
整租·佳兆业城市广场五期 2室1厅 复式 东南,龙岗区,坂田,佳兆业城市广场五期,48.77,东南,2室1厅1卫,4500
整租·先科花园 2室2厅 南,福田区,梅林,先科花园,86.00,南,2室2厅1卫,6000
整租·碧桂园星荟 2室2厅 南,光明区,公明,碧桂园星荟,44.42,南,2室2厅1卫,4000
整租·龙悦居四期 2室1厅 东南,龙华区,梅林关,龙悦居四期,63.10,东南,2室1厅1卫,5200
整租·新新家园 3室2厅 西南,福田区,石厦,新新家园,88.10,西南,3室2厅1卫,9500
整租·深房翠林苑 3室2厅 南,龙岗区,龙岗双龙,深房翠林苑,87.00,南,3室2厅1卫,3400
整租·万科云城 2室1厅 南,南山区,西丽,万科云城,50.00,南,2室1厅1卫,6800
整租·嘉信云峰公馆 1室0厅 东南,宝安区,石岩,嘉信云峰公馆,37.00,东南,1室0厅1卫,2800
整租·庐江春天公寓 2室1厅 南,罗湖区,笋岗,庐江春天公寓,52.00,南,2室1厅1卫,3600
整租·仁恒公园世纪四季园 4室2厅 南/北,龙岗区,大运新城,仁恒公园世纪四季园,141.00,南 北,4室2厅3卫,6500
整租·龙威花园一期 3室2厅 南,龙岗区,布吉关,龙威花园一期,104.68,南,3室2厅2卫,5000
整租·华润城润玺一期 3室1厅 东,南山区,科技园,华润城润玺一期,120.00,东,3室1厅2卫,24000
整租·华润城润玺一期 3室1厅 南,南山区,科技园,华润城润玺一期,116.15,南,3室1厅2卫,22000
整租·中信红树湾北区 1室1厅 东南,南山区,红树湾,中信红树湾北区,55.00,东南,1室1厅1卫,9000
整租·西城雅筑 2室2厅 西北,宝安区,宝安中心,西城雅筑,65.00,西北,2室2厅1卫,6300
整租·天健时尚空间 3室2厅 南,宝安区,宝安中心,天健时尚空间,79.00,南,3室2厅1卫,8300
整租·金景花园 2室2厅 南,罗湖区,银湖,金景花园,78.00,南,2室2厅1卫,4000
整租·富通好旺角一期 2室1厅 复式 东南,宝安区,宝安中心,富通好旺角一期,28.90,东南,2室1厅1卫,5000
合租·中海锦城 2居室 南卧,龙华区,上塘,中海锦城,113.64,南,2室2厅1卫,1600
合租·中海锦城 2居室 东/南卧,龙华区,上塘,中海锦城,113.64,东 南,2室2厅1卫,1500
整租·中熙香缤山 4室2厅 南,宝安区,西乡,中熙香缤山,85.49,南,4室2厅1卫,6500
整租·中泰印邸 2室1厅 东南,南山区,南山中心,中泰印邸,60.00,东南,2室1厅1卫,10000
整租·华润城润玺一期 3室2厅 南,南山区,科技园,华润城润玺一期,120.00,南,3室2厅2卫,23000
整租·阳光花地苑 2室1厅 南,南山区,前海,阳光花地苑,62.00,南,2室1厅1卫,6700
整租·华润城润玺一期 3室2厅 南,南山区,科技园,华润城润玺一期,120.00,南,3室2厅2卫,23000
整租·万科公园里二期 3室2厅 东南,龙岗区,布吉南岭,万科公园里二期,78.00,东南,3室2厅2卫,5700
整租·华丽东村 2室1厅 南,罗湖区,黄贝岭,华丽东村,103.14,南,2室1厅1卫,2400
整租·深业东岭一期 1室1厅 南,罗湖区,黄贝岭,深业东岭一期,33.11,南,1室1厅1卫,3800
整租·桃苑公寓 1室1厅 东南,南山区,南头,桃苑公寓,36.00,东南,1室1厅1卫,3600
整租·吉祥里 3室2厅 南,龙岗区,龙岗中心城,吉祥里,81.00,南,3室2厅1卫,4000
整租·中熙香缤山 4室2厅 南,宝安区,西乡,中熙香缤山,85.49,南,4室2厅1卫,6500
整租·玮鹏花园 3室1厅 东北,福田区,华强北,玮鹏花园,84.00,东北,3室1厅1卫,9500
整租·中泰印邸 2室1厅 东南,南山区,南山中心,中泰印邸,60.00,东南,2室1厅1卫,10000
整租·永乐新村 3室2厅 南/北,南山区,蛇口,永乐新村,84.00,南 北,3室2厅2卫,8600
整租·瑧湾汇 4室2厅 南,南山区,红树湾,瑧湾汇,254.00,南,4室2厅4卫,55000
整租·深国际万科和雅轩 3室2厅 西北,龙华区,民治,深国际万科和雅轩,81.00,西北,3室2厅2卫,7500
整租·海月花园一期 4室2厅 南,南山区,蛇口,海月花园一期,122.85,南,4室2厅2卫,10800
整租·龙威花园二期 2室2厅 东南,龙岗区,布吉关,龙威花园二期,59.00,东南,2室2厅1卫,4000
整租·国际市长交流中心 1室0厅 东南,南山区,红树湾,国际市长交流中心,39.00,东南,1室0厅1卫,4300
整租·儒骏城立方 3室2厅 南,龙岗区,坂田,儒骏城立方,88.56,南,3室2厅2卫,6800
整租·齐明别墅 5室2厅 东/东南,罗湖区,银湖,齐明别墅,275.15,东 东南,5室2厅3卫,18000
整租·第壹世界广场 3室2厅 东,福田区,景田,第壹世界广场,128.00,东,3室2厅1卫,11500
整租·钜建大厦 2室1厅 东南,南山区,后海,钜建大厦,72.74,东南,2室1厅1卫,7600
整租·松坪村东区三期 2室1厅 东南/南,南山区,科技园,松坪村东区三期,60.34,东南 南,2室1厅1卫,6500
整租·泓瀚苑 3室2厅 西南,龙岗区,坂田,泓瀚苑,88.00,西南,3室2厅1卫,4500
整租·鸿荣源·尚峻 3室2厅 东南/南,龙华区,上塘,鸿荣源·尚峻,94.00,东南 南,3室2厅2卫,7500
整租·元盛兴苑 3室2厅 南/北,福田区,沙尾,元盛兴苑,90.32,南 北,3室2厅1卫,5600
整租·金地龙城中央三期 1室1厅 南,龙岗区,龙岗中心城,金地龙城中央三期,43.00,南,1室1厅1卫,2300
整租·雕塑家园 2室1厅 东,福田区,梅林,雕塑家园,72.00,东,2室1厅0卫,5500
整租·信义假日名城一期沁芳园 3室2厅 南/北,龙岗区,布吉关,信义假日名城一期沁芳园,91.00,南 北,3室2厅2卫,4800
整租·仁恒芯梦公园 2室1厅 东南,宝安区,沙井,仁恒芯梦公园,30.00,东南,2室1厅1卫,2200
合租·前海明珠 4居室 东/南卧,南山区,前海,前海明珠,84.90,东 南,4室1厅1卫,2150
整租·东方新地 1室1厅 东,南山区,南头,东方新地,41.32,东,1室1厅1卫,4000
整租·华业玫瑰四季馨园二期 3室1厅 南/北,龙华区,红山,华业玫瑰四季馨园二期,87.00,南 北,3室1厅1卫,7300
合租·中海锦城 2居室 南卧,龙华区,上塘,中海锦城,113.64,南,2室2厅1卫,1600
合租·中海锦城 2居室 东/南卧,龙华区,上塘,中海锦城,113.64,东 南,2室2厅1卫,1500
整租·中海九号公馆二期 4室2厅 南,宝安区,曦城,中海九号公馆二期,138.55,南,4室2厅2卫,13000
整租·中熙香缤山 4室2厅 南,宝安区,西乡,中熙香缤山,85.49,南,4室2厅1卫,6500
整租·华联城市商务中心 1室1厅 西北,南山区,南山中心,华联城市商务中心,40.38,西北,1室1厅1卫,7500
整租·中泰印邸 2室1厅 东南,南山区,南山中心,中泰印邸,60.00,东南,2室1厅1卫,10000
整租·华润城润玺一期 3室2厅 南,南山区,科技园,华润城润玺一期,120.00,南,3室2厅2卫,23000
整租·桂芳园四期 2室1厅 西,龙岗区,布吉大芬,桂芳园四期,60.06,西,2室1厅1卫,3300
整租·华润城润玺一期 3室2厅 东南,南山区,科技园,华润城润玺一期,99.00,东南,3室2厅2卫,23000
整租·学林雅院 3室2厅 南,南山区,科技园,学林雅院,110.21,南,3室2厅2卫,11000
整租·美庐锦园 2室2厅 南,南山区,红树湾,美庐锦园,84.63,南,2室2厅1卫,8700
整租·栖游家园 2室2厅 西,南山区,蛇口,栖游家园,72.00,西,2室2厅1卫,8500
整租·惠名花园 2室1厅 南,罗湖区,莲塘,惠名花园,47.00,南,2室1厅1卫,4000
整租·万科蛇口公馆 3室2厅 东南,南山区,蛇口,万科蛇口公馆,101.00,东南,3室2厅2卫,12000
整租·雕塑家园 2室1厅 南/北,福田区,梅林,雕塑家园,72.00,南 北,2室1厅1卫,5200
