名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.78㎡,东,1房间1卫
独栋·北京企鹅公寓 南法信店 物业急租  特价小开间 开间,,,,12.00㎡,,1室0厅1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.00㎡,北,1房间1卫
独栋·员宿 员宿北京大兴生物制药基地店 园区首选限时特惠 开间,,,,25.00㎡,,1室0厅1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.78㎡,东,1房间1卫
独栋·ZOME己美 北京后沙峪D36栋 精致套房 开间,,,,20.00㎡,,1室0厅1卫
整租·南厂东区 1室1厅 南,昌平,南口,南厂东区,38.70㎡,南,1室1厅1卫
独栋·欣悦青年社区 天通苑北店 温馨一居室 1室1厅,,,,20.00㎡,,1室1厅1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
独栋·德彩创意公寓 俸伯青年社区 精致独卫大床房 1室1厅,,,,18.00-30.00㎡,,1室1厅1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,19.83㎡,东,1房间1卫
整租·北街家园五区 2房间 南,昌平,沙河,北街家园五区,18.78㎡,南,2房间1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.06㎡,北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
整租·高教大楼 1房间 西南/北,昌平,沙河,高教大楼,18.00㎡,西南 北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.88㎡,东,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.06㎡,南,1房间1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.06㎡,北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.99㎡,南,1房间1卫
独栋·ZOME己美 北京后沙峪D36栋 精致套房 开间,,,,20.00㎡,,1室0厅1卫
整租·宾阳里小区 1室1厅 南,密云,鼓楼街道,宾阳里小区,39.59㎡,南,1室1厅1卫
独栋·欣悦青年社区 崔各庄店 温馨公寓开间 开间,,,,30.00㎡,,1室0厅1卫
整租·众美MIMO公馆 2房间 南,大兴,大兴新机场,众美MIMO公馆,23.02㎡,南,2房间1卫
独栋·欣悦青年社区 天通苑北店 温馨一居室 1室1厅,,,,20.00㎡,,1室1厅1卫
整租·樱花园 1室1厅 南,朝阳,惠新西街,樱花园,39.55㎡,南,1室1厅1卫
整租·卡夫卡公社 2房间 西,朝阳,定福庄,卡夫卡公社,32.00㎡,西,2房间1卫
整租·润枫嘉尚 1房间 南,朝阳,石佛营,润枫嘉尚,40.00㎡,南,1房间1卫
整租·和平里七区 1室1厅 南,东城,和平里,和平里七区,35.00㎡,南,1室1厅1卫
整租·朱各庄小区 1室1厅 南,海淀,万寿路,朱各庄小区,38.40㎡,南,1室1厅1卫
整租·新外大街28号院 1室1厅 南,西城,德胜门,新外大街28号院,39.90㎡,南,1室1厅1卫
整租·奥北南区 1室1厅 北,朝阳,立水桥,奥北南区,31.33㎡,北,1室1厅1卫
整租·新裕家园 1室0厅 北,东城,崇文门,新裕家园,36.00㎡,北,1室0厅1卫
整租·广安门内大街 1室1厅 西,西城,牛街,广安门内大街,35.00㎡,西,1室1厅1卫
整租·西草市东街甲34号院 1室1厅 南,东城,天坛,西草市东街甲34号院,31.77㎡,南,1室1厅1卫
整租·7克拉 1室1厅 东,丰台,马家堡,7克拉,39.92㎡,东,1室1厅1卫
整租·荣丰2008 1室1厅 东,西城,广安门,荣丰2008,31.92㎡,东,1室1厅1卫
整租·小黄庄前街2号院 1室1厅 南,朝阳,安贞,小黄庄前街2号院,39.91㎡,南,1室1厅1卫
整租·五福玲珑居南区 1室1厅 南,海淀,四季青,五福玲珑居南区,38.29㎡,南,1室1厅1卫
整租·荣京丽都 2房间 东南,亦庄开发区,亦庄,荣京丽都,36.00㎡,东南,2房间1卫
整租·天天朝阳 1室1厅 西,朝阳,甘露园,天天朝阳,38.12㎡,西,1室1厅1卫
整租·平乐园小区 1室1厅 南,朝阳,北工大,平乐园小区,36.90㎡,南,1室1厅1卫
整租·西三环北路86号院 1室0厅 东/南,海淀,甘家口,西三环北路86号院,37.00㎡,东 南,1室0厅1卫
整租·美立方 1房间 北,朝阳,北苑,美立方,38.00㎡,北,1房间1卫
整租·万寿路26号院 1室1厅 南,海淀,公主坟,万寿路26号院,40.00㎡,南,1室1厅1卫
整租·温家街2号院 1室1厅 南,西城,金融街,温家街2号院,36.20㎡,南,1室1厅1卫
整租·安宁佳园 1室0厅 南,海淀,安宁庄,安宁佳园,38.00㎡,南,1室0厅1卫
整租·东亚上北中心 1室1厅 北,昌平,回龙观,东亚上北中心,38.43㎡,北,1室1厅1卫
整租·点击未来 1室0厅 西北,朝阳,望京,点击未来,38.80㎡,西北,1室0厅1卫
整租·万寿路1号院 1室1厅 南,海淀,万寿路,万寿路1号院,37.00㎡,南,1室1厅1卫
整租·东亚望京中心 2房间 东南,朝阳,望京,东亚望京中心,40.00㎡,东南,2房间1卫
整租·卡夫卡公社 2房间 南,朝阳,定福庄,卡夫卡公社,37.00㎡,南,2房间1卫
整租·莱圳家园 1室1厅 西,海淀,清河,莱圳家园,32.37㎡,西,1室1厅1卫
整租·飘HOME 1室0厅 北,朝阳,酒仙桥,飘HOME,39.84㎡,北,1室0厅1卫
整租·定慧西里 1室1厅 南,海淀,定慧寺,定慧西里,40.00㎡,南,1室1厅1卫
整租·紫金数码 1室1厅 东,海淀,中关村,紫金数码,39.48㎡,东,1室1厅1卫
