名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·欢乐国际 1室1厅 东南,武陵区,火车站,欢乐国际,125.00㎡,东南,1室1厅1卫
整租·金泰利商业大厦 1室1厅 北,武陵区,高山街,金泰利商业大厦,127.00㎡,北,1室1厅1卫
整租·德鑫莲花天街 1室1厅 东,鼎城区,德山,德鑫莲花天街,128.00㎡,东,1室1厅1卫
整租·汇美家居广场 2室2厅 南/北,武陵区,白马湖,汇美家居广场,110.00㎡,南 北,2室2厅1卫
整租·恒华国际 2室1厅 南,鼎城区,桥南,恒华国际,126.00㎡,南,2室1厅1卫
整租·清和苑 2室2厅 南/北,武陵区,白马湖,清和苑,126.00㎡,南 北,2室2厅2卫
整租·欣隆盛世▪朗郡 2室2厅 南,武陵区,甘露寺,欣隆盛世▪朗郡,110.00㎡,南,2室2厅1卫
整租·都市捷座 2室2厅 南,武陵区,三岔路,都市捷座,120.00㎡,南,2室2厅1卫
整租·怡景福園 2室2厅 南,武陵区,火车站,怡景福園,110.00㎡,南,2室2厅1卫
整租·常安白马大院 2室2厅 复式 南/北,武陵区,白马湖,常安白马大院,120.00㎡,南 北,2室2厅1卫
整租·新亚国际 2室1厅 南,武陵区,高山街,新亚国际,120.00㎡,南,2室1厅1卫
整租·龙昌滨湖苑 2室2厅 南,武陵区,宏大,龙昌滨湖苑,130.00㎡,南,2室2厅2卫
整租·芙蓉盛世 2室1厅 南,武陵区,白马湖,芙蓉盛世,118.00㎡,南,2室1厅2卫
整租·金城领域商居楼 2室2厅 南,武陵区,高山街,金城领域商居楼,120.00㎡,南,2室2厅1卫
整租·紫云天国际大厦 2室2厅 南,武陵区,宏大,紫云天国际大厦,128.00㎡,南,2室2厅1卫
整租·浙商广场 2室1厅 南,武陵区,紫桥,浙商广场,115.00㎡,南,2室1厅1卫
整租·万达湖公馆A1区 2室2厅 南/北,武陵区,白马湖,万达湖公馆A1区,110.00㎡,南 北,2室2厅1卫
整租·美吉華庭 2室2厅 东/东南,武陵区,地区医院,美吉華庭,145.00㎡,东 东南,2室2厅1卫
整租·龙昌滨湖苑 2室2厅 南/北,武陵区,宏大,龙昌滨湖苑,132.00㎡,南 北,2室2厅2卫
整租·芙蓉生活一区 3室2厅 南,武陵区,三岔路,芙蓉生活一区,97.00㎡,南,3室2厅1卫
整租·绿地新都会 3室2厅 南,鼎城区,德山,绿地新都会,96.00㎡,南,3室2厅1卫
整租·江南晓苑 2室1厅 南/北,鼎城区,桥南,江南晓苑,110.00㎡,南 北,2室1厅1卫
