名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·恒大御景半岛 1室1厅 西,南海,金沙洲,恒大御景半岛,60.00㎡,西,1室1厅1卫
整租·越秀国际总部广场 1室1厅 南/北/东北,南沙,金洲,越秀国际总部广场,63.00㎡,南 北 东北,1室1厅1卫
整租·越秀国际总部广场 1室1厅 南,南沙,金洲,越秀国际总部广场,63.00㎡,南,1室1厅1卫
整租·荔康大厦 1室1厅 东,荔湾,陈家祠,荔康大厦,60.00㎡,东,1室1厅1卫
整租·粤海广场 1室1厅 南,番禺,万博,粤海广场,54.00㎡,南,1室1厅1卫
独栋·东呈酒店集团 广州珠江新城五羊邨地铁站宜尚PLUS酒店 家庭房 开间,,,,40.00㎡,,1室0厅1卫
整租·六运小区 1室1厅 北,天河,天河南,六运小区,42.00㎡,北,1室1厅1卫
整租·体育西路 1室0厅 北,天河,天河南,体育西路,43.00㎡,北,1室0厅1卫
整租·共和苑 1室0厅 南,越秀,杨箕,共和苑,60.00㎡,南,1室0厅0卫
整租·万科世博汇 1室1厅 东南/南,番禺,广州南站,万科世博汇,69.00㎡,东南 南,1室1厅1卫
整租·财智大厦 1室1厅 东,海珠,新港西,财智大厦,62.00㎡,东,1室1厅1卫
整租·黄华路 1室1厅 南/北,越秀,建设路,黄华路,69.33㎡,南 北,1室1厅1卫
整租·正佳东方国际 1室1厅 东南,越秀,淘金,正佳东方国际,66.00㎡,东南,1室1厅1卫
整租·财润国际大厦 1室1厅 南,天河,粤垦,财润国际大厦,62.00㎡,南,1室1厅1卫
整租·隆辉创意公馆  1室0厅 北,番禺,钟村,隆辉创意公馆 ,60.00㎡,北,1室0厅1卫
整租·南沙万达广场 1室1厅 南,南沙,金洲,南沙万达广场,63.00㎡,南,1室1厅1卫
整租·象岗山 1室1厅 南,越秀,小北,象岗山,60.00㎡,南,1室1厅1卫
整租·中海联南沙国贸中心 1室1厅 南,南沙,金洲,中海联南沙国贸中心,68.00㎡,南,1室1厅1卫
