名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·绿地香颂(奉贤)(公寓) 1室1厅 南/北,奉贤,海湾,绿地香颂(奉贤)(公寓),62.04㎡,南 北,1室1厅1卫
整租·海韵馨苑 1室1厅 南,奉贤,柘林,海韵馨苑,63.70㎡,南,1室1厅1卫
整租·乌鲁木齐南路75弄 1室2厅 南,徐汇,衡山路,乌鲁木齐南路75弄,56.60㎡,南,1室2厅1卫
独栋·菁舍 绿地菁舍3号楼 LOFT国企公寓 毕业季特价近2号线张江 唐镇 卡园 可短租 1室1厅,,,,50.00㎡,,1室1厅1卫
独栋·博邻 五角场店 丝滑飘窗尽享湖景 1室1厅,,,,57.40㎡,,1室1厅1卫
独栋·菁舍 锦秋三店 绿地菁舍公寓.温馨一居室  独立卫浴 大落地窗 1室1厅,,,,41.00-61.00㎡,,1室1厅1卫
整租·东方颐城 1室1厅 南,浦东,书院镇,东方颐城,77.88㎡,南,1室1厅1卫
整租·祥实金港世纪 1室0厅 南,浦东,书院镇,祥实金港世纪,67.55㎡,南,1室0厅1卫
整租·海璟馨园 1室1厅 南,金山,金山,海璟馨园,63.25㎡,南,1室1厅1卫
整租·建邦国宸府 1室1厅 南,金山,金山,建邦国宸府,62.39㎡,南,1室1厅1卫
整租·卫康花苑 1室1厅 南,金山,金山,卫康花苑,70.80㎡,南,1室1厅1卫
整租·松南城辰禾东苑 1室1厅 南,松江,车墩,松南城辰禾东苑,60.00㎡,南,1室1厅1卫
整租·新虹桥时代公馆 1室1厅 西北,嘉定,安亭,新虹桥时代公馆,62.26㎡,西北,1室1厅1卫
整租·连城一号 1室1厅 东北,奉贤,西渡,连城一号,60.40㎡,东北,1室1厅1卫
整租·连城一号 1室1厅 北,奉贤,西渡,连城一号,60.40㎡,北,1室1厅1卫
整租·馨泰佳苑 1室1厅 南,闵行,华漕,馨泰佳苑,60.00㎡,南,1室1厅1卫
整租·嘉丰大厦 1室2厅 东南,嘉定,嘉定老城,嘉丰大厦,67.79㎡,东南,1室2厅1卫
整租·练祁佳苑 1室1厅 南,嘉定,菊园新区,练祁佳苑,64.93㎡,南,1室1厅1卫
整租·上置海景大厦 1室1厅 南,金山,金山,上置海景大厦,79.23㎡,南,1室1厅1卫
整租·山康花苑 1室1厅 南,金山,金山,山康花苑,62.53㎡,南,1室1厅1卫
整租·连城一号 1室1厅 南,奉贤,西渡,连城一号,60.40㎡,南,1室1厅1卫
整租·紫藤嘉苑 1室1厅 南,闵行,老闵行,紫藤嘉苑,64.57㎡,南,1室1厅1卫
整租·东渡悦来城 1室1厅 南,青浦,盈浦,东渡悦来城,60.44㎡,南,1室1厅1卫
整租·馨佳园(菊泉街1346弄) 1室1厅 南,宝山,顾村,馨佳园(菊泉街1346弄),60.00㎡,南,1室1厅1卫
整租·连城一号 1室1厅 南,奉贤,西渡,连城一号,60.45㎡,南,1室1厅1卫
整租·乐都小区 1室1厅 南,松江,松江老城,乐都小区,67.98㎡,南,1室1厅1卫
整租·嘉正国际 1室1厅 南,嘉定,安亭,嘉正国际,62.68㎡,南,1室1厅1卫
整租·上置美兰优湖 1室1厅 南,宝山,罗店,上置美兰优湖,69.00㎡,南,1室1厅1卫
整租·崧涵庭 1室1厅 南,青浦,赵巷,崧涵庭,68.00㎡,南,1室1厅1卫
整租·绿地香颂(奉贤)(公寓) 1室1厅 南/北,奉贤,海湾,绿地香颂(奉贤)(公寓),62.00㎡,南 北,1室1厅1卫
独栋·中海友里 上海临港自贸区店 温馨一居室 1室1厅,,,,65.00㎡,,1室1厅1卫
整租·金康花苑 1室2厅 南,金山,金山,金康花苑,62.79㎡,南,1室2厅1卫
独栋·中海友里 上海临港自贸区店 一室一厅一厨一卫 1室1厅,,,,65.00㎡,,1室1厅1卫
