名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
独栋·逸安之家社区 万丰一店 1年租毕业季实惠直租首选大单间 开间,,,,45.00㎡,,1室0厅1卫
独栋·逸安之家社区 恒大国际社区，国际社区 1年租直租大单间无中介费 开间,,,,40.00㎡,,1室0厅1卫
独栋·云朵 和家公寓 我是大单间 开间,,,,40.00㎡,,1室0厅1卫
独栋·梦幻之家社区 童心公寓 超大空间阳光单间独立厨卫（谢绝短租） 开间,,,,40.00㎡,,1室0厅1卫
独栋·梦幻之家社区 vhome社区1店 暖色系电梯高楼层通风采光好一房（谢绝短租） 1室1厅,,,,40.00㎡,,1室1厅1卫
独栋·云朵 和家公寓 毕业季特惠阳台单间 开间,,,,40.00㎡,,1室0厅1卫
独栋·梦幻之家社区 朝阳公寓 房东直租无中介费性价比阳台一房一厅电梯（谢绝短租）房 1室1厅,,,,40.00㎡,,1室1厅1卫
独栋·伟华公寓 向银路店 一房一厅 1室1厅,,,,42.00㎡,,1室1厅1卫
独栋·梦幻之家社区 vhome社区1店 绝美隔断一房（谢绝短租） 1室1厅,,,,45.00㎡,,1室1厅1卫
独栋·深圳蘑菇公寓 平湖店 一房一厅 1室1厅,,,,43.00-45.00㎡,,1室1厅1卫
独栋·倾城公寓 松仔园店 电梯可短租押一付一好停车 开间,,,,20.00-40.00㎡,,1室0厅1卫
独栋·西柚公寓· 河滨湾畔 一房一厅 1室1厅,,,,45.00㎡,,1室1厅1卫
独栋·F精选公寓 观澜科技大厦店 宽敞一房一厅 1室1厅,,,,45.00㎡,,1室1厅1卫
整租·莲花山庄五村 1室0厅 西南,龙岗区,布吉街,莲花山庄五村,287.95㎡,西南,1室0厅1卫
独栋·西柚小镇 54号店 单间 开间,,,,303.00㎡,,1室0厅1卫
独栋·逸安之家社区 奥迪之家社区，国际社区 1年租精装两房一厅 2室1厅,,,,80.00㎡,,2室1厅1卫
整租·深蓝公寓 1室1厅 东南,南山区,后海,深蓝公寓,43.00㎡,东南,1室1厅1卫
整租·大冲新城花园 1室1厅 西,南山区,科技园,大冲新城花园,50.00㎡,西,1室1厅1卫
整租·侨福大厦 1室2厅 南,福田区,景田,侨福大厦,55.00㎡,南,1室2厅1卫
整租·百富大厦南山区 1室1厅 北,南山区,南山中心,百富大厦南山区,43.00㎡,北,1室1厅1卫
整租·五洲星苑 1室1厅 南,福田区,景田,五洲星苑,41.00㎡,南,1室1厅1卫
整租·招商前海·领尚公馆 1室0厅 东南,南山区,前海,招商前海·领尚公馆,41.00㎡,东南,1室0厅1卫
整租·东方时代广场 1室1厅 东,福田区,华强北,东方时代广场,45.00㎡,东,1室1厅1卫
整租·皇庭世纪 1室1厅 北,福田区,石厦,皇庭世纪,45.00㎡,北,1室1厅1卫
整租·中山颐景花园一期 1室1厅 南,南山区,南头,中山颐景花园一期,44.61㎡,南,1室1厅1卫
整租·水湾1979二期 1室1厅 西南,南山区,蛇口,水湾1979二期,43.00㎡,西南,1室1厅1卫
整租·星河世纪 1室1厅 南,福田区,福田中心,星河世纪,47.00㎡,南,1室1厅1卫
整租·城投青莲公寓 1室1厅 东,福田区,莲花,城投青莲公寓,40.00㎡,东,1室1厅1卫
整租·都会100 1室1厅 南,福田区,华强北,都会100,40.00㎡,南,1室1厅1卫
整租·德意名居一期 1室1厅 南,南山区,大学城,德意名居一期,41.00㎡,南,1室1厅1卫
整租·中信湾上六座 1室1厅 东南,宝安区,碧海,中信湾上六座,43.00㎡,东南,1室1厅1卫
整租·宝树台 1室1厅 南,福田区,华强北,宝树台,46.00㎡,南,1室1厅1卫
整租·卡罗社区 1室1厅 西南,宝安区,翻身,卡罗社区,46.36㎡,西南,1室1厅1卫
整租·祥云天都世纪大厦 1室1厅 西北,福田区,新洲,祥云天都世纪大厦,50.00㎡,西北,1室1厅1卫
整租·鸿翔花园 1室1厅 北,罗湖区,地王,鸿翔花园,48.00㎡,北,1室1厅1卫
整租·缇香名苑 1室1厅 西北,福田区,景田,缇香名苑,45.00㎡,西北,1室1厅1卫
整租·绿洲丰和 1室1厅 西北,福田区,石厦,绿洲丰和,43.00㎡,西北,1室1厅1卫
整租·泊林 1室1厅 东南,罗湖区,翠竹,泊林,46.00㎡,东南,1室1厅1卫
整租·阁林网苑 1室1厅 北,福田区,华强北,阁林网苑,53.00㎡,北,1室1厅1卫
整租·水湾1979一期 1室1厅 东南,南山区,蛇口,水湾1979一期,45.00㎡,东南,1室1厅1卫
整租·TT国际公寓 1室1厅 北,福田区,景田,TT国际公寓,40.87㎡,北,1室1厅1卫
整租·美丽湾国际公寓 1室1厅 东南,南山区,南山中心,美丽湾国际公寓,43.00㎡,东南,1室1厅1卫
整租·麒麟花园A区 1室1厅 北,南山区,南头,麒麟花园A区,49.00㎡,北,1室1厅1卫
整租·友邻公寓 1室1厅 南,南山区,南山中心,友邻公寓,45.00㎡,南,1室1厅1卫
整租·星河盛世花园 1室1厅 北,龙华区,梅林关,星河盛世花园,48.00㎡,北,1室1厅1卫
整租·科技园五十八区 1室1厅 东南,南山区,科技园,科技园五十八区,58.00㎡,东南,1室1厅1卫
独栋·汉坤公寓 花园坪店 爱联店1房一厅 1室1厅,,,,28.00-48.00㎡,,1室1厅1卫
独栋·爱之家青年公寓 十八分店 一房一厅 1室1厅,,,,30.00-55.00㎡,,1室1厅1卫
独栋·金地草莓社区 民治天虹旗舰店 情侣居家大单间 开间,,,,50.00㎡,,1室0厅1卫
独栋·金地草莓社区 平台严选公寓 限时活动  一房一厅 可做饭 1室1厅,,,,45.00㎡,,1室1厅1卫
整租·四达大厦 1室1厅 西南,南山区,南山中心,四达大厦,47.33㎡,西南,1室1厅1卫
整租·中润百分百公寓 1室0厅 南,南山区,南山中心,中润百分百公寓,43.06㎡,南,1室0厅1卫
整租·星河盛世花园 1室1厅 东南/南,龙华区,梅林关,星河盛世花园,42.00㎡,东南 南,1室1厅1卫
整租·泰华阳光海小区 1室1厅 东南,宝安区,碧海,泰华阳光海小区,60.00㎡,东南,1室1厅1卫
整租·万科深南广场 1室1厅 南,罗湖区,春风路,万科深南广场,44.00㎡,南,1室1厅1卫
整租·花果山小区 1室1厅 南,南山区,蛇口,花果山小区,42.00㎡,南,1室1厅1卫
整租·信和自由广场 1室1厅 东南,南山区,后海,信和自由广场,53.00㎡,东南,1室1厅1卫
整租·融创智汇大厦 1室1厅 东南,龙华区,龙华中心,融创智汇大厦,49.00㎡,东南,1室1厅1卫
整租·中电信息大厦 1室1厅 西,福田区,景田,中电信息大厦,44.00㎡,西,1室1厅0卫
整租·龙岸花园一期 1室1厅 南,龙华区,坂田,龙岸花园一期,49.00㎡,南,1室1厅1卫
整租·城市天地广场 1室1厅 南,罗湖区,万象城,城市天地广场,50.80㎡,南,1室1厅1卫
整租·心语家园 1室1厅 东南,南山区,前海,心语家园,40.00㎡,东南,1室1厅1卫
整租·旭飞花园 1室1厅 复式 南,福田区,八卦岭,旭飞花园,43.00㎡,南,1室1厅1卫
整租·龙光玖钻 1室1厅 复式 南,龙华区,红山,龙光玖钻,40.00㎡,南,1室1厅1卫
整租·西海湾公寓 1室0厅 西,南山区,后海,西海湾公寓,42.00㎡,西,1室0厅1卫
整租·星河盛世花园 1室1厅 东北,龙华区,梅林关,星河盛世花园,50.48㎡,东北,1室1厅1卫
整租·龙光玖钻 1室1厅 西南,龙华区,红山,龙光玖钻,40.09㎡,西南,1室1厅1卫
整租·华富大厦 1室1厅 北,福田区,景田,华富大厦,41.00㎡,北,1室1厅1卫
整租·星河传奇二期 1室1厅 东南,龙华区,红山,星河传奇二期,50.00㎡,东南,1室1厅1卫
整租·麒麟花园A区 1室0厅 北,南山区,南头,麒麟花园A区,40.00㎡,北,1室0厅1卫
整租·金中环国际商务大厦 1室1厅 南,福田区,福田中心,金中环国际商务大厦,44.99㎡,南,1室1厅1卫
整租·宏发领域 1室1厅 南,宝安区,宝安中心,宏发领域,45.00㎡,南,1室1厅1卫
整租·旭飞花园 1室1厅 复式 南,福田区,八卦岭,旭飞花园,45.00㎡,南,1室1厅1卫
整租·港逸豪庭 1室1厅 南,罗湖区,罗湖口岸,港逸豪庭,55.17㎡,南,1室1厅1卫
整租·鸿荣源天俊 1室1厅 东,龙华区,民治,鸿荣源天俊,47.00㎡,东,1室1厅1卫
整租·凤凰印象 1室1厅 东南,罗湖区,螺岭,凤凰印象,41.31㎡,东南,1室1厅1卫
整租·群星广场 1室0厅 南,福田区,华强北,群星广场,46.00㎡,南,1室0厅1卫
整租·皇御苑四期 1室1厅 南,福田区,皇岗,皇御苑四期,42.00㎡,南,1室1厅1卫
整租·彩福大厦 1室1厅 北,福田区,福田中心,彩福大厦,51.00㎡,北,1室1厅1卫
整租·赛格公寓 1室0厅 南/北,福田区,华强北,赛格公寓,45.00㎡,南 北,1室0厅1卫
整租·深业上城 1室0厅 南,福田区,莲花,深业上城,110.73㎡,南,1室0厅1卫
独栋·璟峯公寓 西丽直营店 超大户型一室一厅 1室1厅,,,,100.00㎡,,1室1厅1卫
整租·壹海中心 1室1厅 西北/北,盐田区,沙头角,壹海中心,110.00㎡,西北 北,1室1厅1卫
独栋·璟峯公寓 西丽旗舰店 豪华行政套房 1室1厅,,,,105.00㎡,,1室1厅1卫
整租·深业上城 1室1厅 南,福田区,莲花,深业上城,108.00㎡,南,1室1厅2卫
整租·阳光高尔夫大厦 1室0厅 西,福田区,香蜜湖,阳光高尔夫大厦,101.00㎡,西,1室0厅0卫
整租·太子湾商务广场T4 1室1厅 南,南山区,蛇口,太子湾商务广场T4,100.00㎡,南,1室1厅1卫
整租·地王大厦信兴广场 1室1厅 南,罗湖区,地王,地王大厦信兴广场,104.00㎡,南,1室1厅1卫
整租·宝湾公寓 1室1厅 东,宝安区,宝安中心,宝湾公寓,111.42㎡,东,1室1厅1卫
