名称,地理位置（字段1）,地理位置（字段2）,地理位置（字段3）,房型,面积（㎡）,均价（元/平米）,总价（万元/套）
北京岭秀,平谷,平谷其它,环山路与主环路交叉口东南(南一路),3室,220,16000,352.0000
水岸壹号,房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁,3室,185,58000,1073.0000
尚峯壹號,顺义,顺义其它,"中央别墅北区京承高速11号出口, 天承环路8号院",2室,107,27000,288.9000
运河铭著,通州,北关,商通大道与榆东一街交叉口，温榆河森林公园东500米,2室,100,49000,490.0000
万年广阳郡九号,房山,长阳,长阳清苑南街与汇商东路交汇处西北角,3室,166,50000,830.0000
天恒世界集,大兴,高米店,西红门镇广平大街与盛坊路交叉口,1室,45,27000,121.5000
御汤山熙园,昌平,昌平其它,北京市昌平区小汤山镇顺沙路99号院,4室,300,40000,1200.0000
天资华府,房山,长阳,房山区CSD政务大厅5号门,3室,115,38000,437.0000
檀香府,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,208,45000,936.0000
韩建·观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,3室,290,40000,1160.0000
国门智慧城,顺义,后沙峪,后沙峪枯柳树环岛西100米国门一号西侧,2室,50,30000,150.0000
中国铁建花语金郡,大兴,瀛海,南海子公园西侧(南五环旧忠桥向南第二个红绿灯西300米),3室,150,70000,1050.0000
北辰墅院1900,顺义,马坡,顺兴街11号院望尊园,4室,251,35000,878.5000
香江别墅,昌平,昌平其它,北京市昌平区马池口镇百葛路366号院,4室,210,39300,825.3000
都丽华府,平谷,平谷其它,新平南路与林荫南街交汇处向西100米,2室,86,29000,249.4000
燕西华府,丰台,丰台其它,"王佐镇青龙湖公园东1500米,",2室,60,42000,252.0000
水岸壹号,房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁,3室,122,48000,585.6000
鲁能钓鱼台美高梅公馆,丰台,刘家窑,南苑乡石榴庄(地铁宋家庄站D出口西150米),4室,332,163000,5411.6000
尊悦日坛,朝阳,朝阳门外,日坛北路19号,1室,45,63000,283.5000
天恒摩墅,房山,房山其它,周口店镇政府东200米,3室,140,23000,322.0000
鲁能·格拉斯小镇,通州,通州其它,北京市通州区宋庄镇格拉斯小镇营销中心,3室,246,62000,1525.2000
兴创荣墅,大兴,大兴新机场洋房别墅区,北京市大兴区育胜街,3室,188,25000,470.0000
