楼盘名称,平米数,总价,单价
富瑞苑带电梯+全天物业管理+不临街+满五唯一+新装修,152.55平米,1520万,"99,640元/平"
全南向 无遮挡 中间层 装修好,50.72平米,838万,"165,221元/平"
东二环城中心商品社区，独立一居室，对花园，诚意出售,49.61平米,550万,"110,865元/平"
新增  北京上舍方正三居室  满五唯一  诚意出售,125.05平米,1399万,"111,876元/平"
崇文门 富贵园一区纯商品房 南北通透三居室 小区中间,144.8平米,2330万,"160,912元/平"
东城区 新奥洋房  对花园 高层视野采光好,149.61平米,1450万,"96,919元/平"
已购房诚意出售，产权清晰，无抵押，采光好无遮挡,69.69平米,768万,"110,203元/平"
天坛公园北门 桥湾地铁站 金鱼池 南北通透两居 2室1厅,72.85平米,755万,"103,638元/平"
满五年家庭名下唯一住房，视野开阔，精装修拎包入住,60.75平米,710万,"116,873元/平"
东城和平里一区，精装修，电梯直达，满五唯一，采光好,60.79平米,809万,"133,082元/平"
华龙美晟09年商品房社区大两居落地窗无遮挡,91.44平米,850万,"92,958元/平"
广渠门商品房社区南北通透带落地窗和飘窗户型好,107.11平米,1345万,"125,572元/平"
南北通透三居室 精装修 采光好随时签约,137平米,1850万,"135,037元/平"
全南三居室 精装修 拎包入住 随时签约,146.12平米,1600万,"109,500元/平"
龙潭北里 两居 诚心卖 精装修 随时签约,58.82平米,615万,"104,557元/平"
光明西里    满五年唯一 看房随时,50.2平米,539万,"107,371元/平"
东城区板楼中间层，房本满五年，单位分房，诚心出售！,57.77平米,600万,"103,861元/平"
普渡寺 上下复式二居 四合院建筑 一号线地铁 天安门东,70.17平米,1100万,"156,763元/平"
安外花园 3室2厅 南 北,79.26平米,975万,"123,013元/平"
此房高楼层，视野好，小区管理好，有物业，能停车。,52.03平米,638万,"122,622元/平"
房子是带电梯三居室，户型方正，格局合理 无遮挡,88.71平米,960万,"108,218元/平"
只有契税，只有契税，只有契税，户型方正 采光好,92.02平米,1350万,"146,708元/平"
商品房房本，满五唯一，随时能看，不临街，随时签约,91.17平米,992万,"108,808元/平"
国瑞城中区高楼层把边儿户型三居室，敞亮，方正，好房,104.9平米,1180万,"112,489元/平"
高楼层 西南三居室  三间房朝南  双卫生间  进出刷卡,146.77平米,1495万,"101,861元/平"
东城区 2009年小区商品本 交通便利 精装修 购房成本低,79.67平米,929万,"116,606元/平"
安交板块 朗家胡同13号院 二环内 视野采光好 单位分房,67.34平米,820万,"121,771元/平"
本房央产房满五年 楼层好 视野宽阔 无遮挡 交通便利,115.9平米,1620万,"139,776元/平"
领行国际 1室1厅 北,62.03平米,560万,"90,279元/平"
满五唯一 楼层好 视野开阔 业主诚心出售 随时可以签约,64.05平米,620万,"96,800元/平"
东单南向精装修一居室，满五年唯一，看房方便。,38.74平米,550万,"141,973元/平"
东城区 左安浦园小区 西向 精装修 业主诚心出售,67.94平米,655万,"96,409元/平"
东城龙体，广渠家园优质一居，朝东向采光好，诚意出售,51.12平米,588万,"115,024元/平"
国瑞城 婚房装修 高层一居室 视野开阔 落地窗,60.84平米,660万,"108,482元/平"
