楼盘名称,平米数,总价,单价
2015年交房 经典4+1户型  观景房,144.92平米,2190万,"151,118元/平"
大望路方正南北三居 双通透 双地铁 次顶层,132.46平米,1350万,"101,918元/平"
美然动力A1区 3室2厅 南 北,140.36平米,609万,"43,389元/平"
安静不临街 双卧朝南  可接受换房周期 带租赁车位,120.52平米,735万,"60,986元/平"
白领家园南北的三居室，一梯两户，高楼层,141.32平米,980万,"69,347元/平"
逸园新上 满五年唯一，两梯6户，全明三居，甲宅管理,139.65平米,976万,"69,890元/平"
满五年唯一，南向，视野好无遮挡，有钥匙随时看房,65.42平米,375万,"57,322元/平"
满五唯一商品房，2梯3户，户型方正，没有遮挡诚心出售,56.86平米,318万,"55,927元/平"
柏林爱乐正对小区花园满五年唯一随时看房随时签约,67平米,398万,"59,403元/平"
艺水芳园  双卫两居  满五年 业主在京无其他房产,92.64平米,446万,"48,144元/平"
子满五年唯一，采光好，看房方便，业主诚心卖,88.53平米,469万,"52,977元/平"
满五年，在京家庭名下无其他住宅。随时签约。南北通透,81.25平米,510万,"62,770元/平"
惠新西街33号院 正规两居室 带电梯 业主诚意出售,62.66平米,519万,"82,828元/平"
望京西园三区南向大三居。大阳台，无遮挡,173.45平米,1100万,"63,419元/平"
太阳宫 10号线17号线 南北通透 三居室 有钥匙,140.68平米,1748万,"124,254元/平"
南北通透三居室+观景效果好+84%得房率+中高层,130.5平米,1500万,"114,943元/平"
高层眼镜户型三居，全新房满五唯一，前后园林水系环绕,187.05平米,2189万,"117,028元/平"
翠成馨园A区板楼南北通透三居室 一梯两户 双卧朝南,122.78平米,580万,"47,239元/平"
左家庄西街  4居复式结构  双卫   600万,108.46平米,600万,"55,320元/平"
华亭嘉园 东南向 方正户型 观鸟巢水立方,193.07平米,1700万,"88,051元/平"
南北通透两居室 双卫设计 景观好视野棒,147.16平米,1680万,"114,162元/平"
满五唯一，精装修，南北向，诚意出售！,250.21平米,920万,"36,770元/平"
通惠家园 1室1厅 东,59.63平米,325万,"54,503元/平"
大西洋新城A区 南北通透三居室 户型方正不临街近地铁,132.93平米,1099万,"82,676元/平"
此房满五年，南北通透格局好，楼层高，视野开阔！,136.04平米,790万,"58,072元/平"
华彩国际公寓 双卧南户型 全明格局不临街,171.27平米,1800万,"105,098元/平"
低密度社区下叠 视野好无遮挡 南花园 停车方便,285.47平米,1450万,"50,794元/平"
世纪龙祥嘉园 南北通透复式 视野宽阔,160.3平米,830万,"51,778元/平"
东柳西里 2室0厅 南 北,44.74平米,218万,"48,726元/平"
石佛营西里  2层  南北两居  满五年唯一,58.23平米,385万,"66,118元/平"
朝阳管庄   京通苑   两居室,92.86平米,399万,"42,968元/平"
双龙南里 满五年房改房 中间层 电梯房 无遮挡 不临街,73.07平米,352万,"48,173元/平"
满五唯一商品房 户型方正 采光好 视野好 无遮挡,101.79平米,592万,"58,159元/平"
万象新天 南北双通透 2层带电梯 花园洋房 诚意报价,98.44平米,705万,"71,618元/平"
石佛营明厅两居室，东西南三面采光，无遮挡，1993年,65.8平米,375万,"56,991元/平"
户型方正，南向正对花园，视野好,61.12平米,469万,"76,735元/平"
柏林爱乐二期 满五年唯一，非顶层，看房有钥匙诚心卖,38.7平米,287万,"74,161元/平"
常营丽景园婚房装修，有钥匙，看房方便,68.87平米,298万,"43,270元/平"
朝阳东四环 精装两居 东南朝向 板楼2层 费用少随时看,57.31平米,390万,"68,051元/平"
绿岛苑西区双卧朝南 满五年唯一 高楼层 采光好,75.74平米,353万,"46,607元/平"
福润四季 南北通透两居 居住舒适 满五年唯一,74.33平米,369万,"49,644元/平"
优质三居！满五年唯一 不临街 接受换房 居住舒适,93.08平米,760万,"81,651元/平"
北苑筑华年 西南小三居 满五唯一，诚售,91.33平米,745万,"81,573元/平"
常营满五年唯一商品房 板楼带电梯 精装修 拎包入住,78.77平米,418万,"53,066元/平"
福润四季A区 南北通透两居室 业主诚意出售,73.95平米,389万,"52,604元/平"
花家地小区南北通透两居室满五唯一靠谱出售,55.51平米,450万,"81,067元/平"
京通苑东南向两居中楼层无遮挡满二商品房一号线管庄站,83.56平米,409万,"48,947元/平"
安贞里 家属院，采光好 单独物业管理,64.91平米,586万,"90,279元/平"
北京新天地四期，双阳台全南两居,101.74平米,650万,"63,889元/平"
双惠小区 南北通透 两个卫生间 满五年唯一商品房,111.84平米,475万,"42,472元/平"
新源街小区三居室楼层低看房随时小区安静,56.72平米,435万,"76,693元/平"
管庄西里1-63号楼  98年楼龄 明厨明卫 万链精装修,66.03平米,355万,"53,764元/平"
荟康苑 南北两居室  卧室阳台,71.96平米,335万,"46,554元/平"
金隅康惠园2号院 满五唯一 南向 采光好 无遮挡,76.06平米,359万,"47,200元/平"
加电梯，正在改造中，交通便利，通透，居住舒适,57.54平米,420万,"72,993元/平"
满五年唯一商品房，诚心出售，无遮挡,95.77平米,596万,"62,233元/平"
国美第一城2号院 户型方正 紧凑两居 客厅卧室都是飘窗,80.38平米,588万,"73,153元/平"
劲松七区 2室1厅 南,52.59平米,301万,"57,236元/平"
金台路地铁14号 6号 南北通透两居采光好 无遮挡,61.7平米,390万,"63,210元/平"
劲松农光里 满五唯一 近地铁 带电梯 业主诚意出售,61.22平米,429万,"70,076元/平"
富力阳光美园 3室1厅 东北,89.69平米,500万,"55,748元/平"
安贞西里一区 化工部央产楼 管理好 双南采光好,58.1平米,559万,"96,214元/平"
本房精装修，靠谱签约。户型格局好用，近地铁,79.73平米,540万,"67,729元/平"
管庄西里南北两居室 满五唯一 靠谱出售,103.87平米,440万,"42,361元/平"
汇鸿家园 2室1厅 南 北,80.94平米,485万,"59,921元/平"
十里堡南区，满五唯一 好格局一居室,47.48平米,266万,"56,024元/平"
此房满五唯一，中高楼层，精装修，拎包入住，可转商,88.08平米,419万,"47,571元/平"
润泽公馆 中间楼高层无遮挡，南北3+1户型,145.08平米,1398万,"96,361元/平"
风林二期新上板楼3居 不临街高层 精装修,159.6平米,1750万,"109,650元/平"
南北大三居 双通透 全明户型  一层接地气,188.99平米,1610万,"85,190元/平"
东1时区，眼镜户型大三居，小区C位不临街，精装修。,128.03平米,675万,"52,723元/平"
世纪村西区三居室两卫满五唯一诚意签约采光好视野宽阔,126.32平米,760万,"60,165元/平"
金地国际花园，高楼层，采光棒视野好，业主诚意！！！,198.81平米,1949万,"98,034元/平"
望京新城 3室1厅 东南 西南,126.11平米,890万,"70,574元/平"
朝阳雅筑高楼层板楼三居，一层两户,125.25平米,850万,"67,865元/平"
怡馨园部长楼 顶层复式 全新装修,272.56平米,2100万,"77,048元/平"
远洋一方溪语苑，南北通透大三居，精装修。,141.67平米,888万,"62,681元/平"
万象新天天际高尔夫 精装 小板楼  店长推荐   诚意卖,132.16平米,845万,"63,938元/平"
东二环外全南两居室，满五唯一 落地窗大阳台诚意出售,160.01平米,1140万,"71,246元/平"
满五唯一/安静不临街/高层视野/全南向看小区花园,169.93平米,1208万,"71,089元/平"
双卧朝南，前后不临街，电梯刷卡入户。,167.81平米,1295万,"77,171元/平"
东二环 潘家园 东西通透 全明格局 满五唯一 拎包入住,68.58平米,455万,"66,346元/平"
远洋万和城A区 东边户四居 南侧正对小区花园,192.09平米,2368万,"123,276元/平"
凯德品元 精装三居室 采光视野好 精装拎包住,155.65平米,1712万,"109,991元/平"
朝青 四惠东兴隆家园精装南北通透三居,149.23平米,810万,"54,279元/平"
北京新天地五期 4室2厅 南 北,173.62平米,950万,"54,718元/平"
富力又一城A区南北通透三居室，明厨明卫，满五唯一,139.91平米,755万,"53,964元/平"
经理推荐：聚焦优质户型  位置好 采光好 环境好 靠谱,129.13平米,1450万,"112,290元/平"
通惠家园 满五年唯一商品房 南向精装修 正对花园,83.48平米,545万,"65,286元/平"
南北通透3居室全明格局花40万装修，共5层在3层有电梯,89.47平米,558万,"62,368元/平"
东三环头部品质社区 西南北三居 满五年唯一 诚心出售,119.3平米,1325万,"111,065元/平"
华威北里精装修，满五唯一，精装修三居室带客厅,68.21平米,463万,"67,879元/平"
华贸公寓   板楼南北   花园视野,156.94平米,1330万,"84,746元/平"
满五唯一。商品房社区，成熟商圈，出行便捷,78.85平米,855万,"108,434元/平"
