楼盘名称,平米数,总价,单价
蓟门北里精装修高楼层采光无遮挡,57.4平米,528万,"91,987元/平"
新出：南区眼镜户型  四居室 双明卫 中间安静位置,287.77平米,3300万,"114,675元/平"
少有平层三居 有电梯 低楼层 全明格局,147.15平米,1378万,"93,646元/平"
永定路  永定路甲19号院  单位分房 带电梯 精装修,110.69平米,1100万,"99,377元/平"
瑞新里小区精装三居室，临花园，户型方方正正无缺角,135.05平米,1750万,"129,582元/平"
永金里小区 3室2厅 南 北,118.98平米,898万,"75,475元/平"
蓟门桥  满五年唯一   南北三居 诚售  看房有钥匙,70.3平米,715万,"101,707元/平"
电信小区中间楼层，南北通透两居室，诚心出售,57.15平米,570万,"99,738元/平"
航天社区经典三居有电梯看房方便,90.8平米,1160万,"127,754元/平"
中关村芙蓉里西区塔楼三居 带电梯 有钥匙 看房随时,104.2平米,1130万,"108,446元/平"
小区1号楼，只有契税，看西山、夕阳、电视塔、视野好,248.4平米,2800万,"112,722元/平"
百朗园  2002年商品房小区  人车分流  中高楼层视野好,141.68平米,1155万,"81,522元/平"
清河 莱圳家园三期 正规南北通透两居室 高楼层,87.65平米,799万,"91,159元/平"
玉泉路 玉阜嘉园 南向三室两卫 不临街 没有遮挡 满五,143.76平米,1150万,"79,995元/平"
永金里小区，低楼层三居，满五年，双卫设计，采光好。,120.99平米,865万,"71,494元/平"
当代城市家园  小区中间位置  看房方便,122.11平米,1220万,"99,910元/平"
颐源居小区东南三居临河观景采光好诚售有钥匙,115.94平米,1620万,"139,728元/平"
海淀区 学院路 清枫华景园 南北通透 三居室 小区中间,141.12平米,1550万,"109,836元/平"
玉海园三里满五唯一商品房带电梯,85.33平米,720万,"84,379元/平"
南北通透，中间层，满五年唯一，前后没遮挡，靠谱卖！,59.3平米,499万,"84,149元/平"
四环边 低密度一梯一户平墅，全明格局，带车库,313.57平米,3500万,"111,618元/平"
双车位 南北大三居 中层采光好 不临街，满五唯一,171.16平米,1920万,"112,176元/平"
百旺家苑精装三居中间层诚意出售,139.86平米,1288万,"92,093元/平"
博雅西园 顶层精装修 拎包入住,117.97平米,1290万,"109,350元/平"
上地 南北大三居 满五年 唯一 位置好 中楼层,130.9平米,1160万,"88,618元/平"
【国管局家属院】三居室 洋房外观 管理好满五年,63.7平米,645万,"101,256元/平"
建材城西二里 南向一居室 中间楼层不临街,46.3平米,358万,"77,322元/平"
水科院，南北通透电梯房，明厨明卫，中间层，央产房,85.7平米,1180万,"137,690元/平"
牡丹园西里两居独立客厅，视野好，电梯房，业主诚售,66平米,685万,"103,788元/平"
视野好，采光没有遮挡，户型方正，看房方便,49.5平米,398万,"80,405元/平"
中关村南北通透 中间楼层 满五年单位分房,60.16平米,850万,"141,290元/平"
南北通透，明厨明卫，满五唯一，地铁，看房随时,59.68平米,625万,"104,726元/平"
南北通透户型好 满五唯一  中间楼层 房龄新,56.86平米,650万,"114,316元/平"
又一村 2室1厅 南 北,53.26平米,555万,"104,206元/平"
科委宿舍 电梯直达 看房方便 近地铁公园,31.6平米,530万,"167,722元/平"
上庄优质两居室 全朝阳 无遮挡 采光好 中间楼层,55.2平米,332万,"60,145元/平"
莱圳家园二期精装修南北通透二居满五年唯一,97.86平米,878万,"89,721元/平"
育新花园 3室2厅 东 南 西 北,102.6平米,805万,"78,461元/平"
农林科学院宿舍 交通便捷 配套齐 南北通透,55.4平米,595万,"107,401元/平"
农影小区 2室1厅 东 南,51.83平米,622万,"120,008元/平"
燕归园 中间楼层 南北向  双厅 双卫 全明两居,100.74平米,1480万,"146,913元/平"
带电梯洋房两居 满五唯一 购房成本低,91.25平米,710万,"77,809元/平"
