楼盘名称,平米数,总价,单价
西四带电梯，满五年成本价，视野开阔，方便看房有钥匙,71平米,1100万,"154,930元/平"
新街口 低楼层 南北通透三居室,73.4平米,968万,"131,881元/平"
长椿街广安门南北通透三居室楼龄新低楼层看房方便诚心,133.47平米,1500万,"112,385元/平"
中间层 东南角 正规三居室 远眺丽泽商务区,121.15平米,1750万,"144,450元/平"
平原里带电梯 南北通透两居 满五唯一 诚心出售,63.79平米,738万,"115,693元/平"
西城区板楼 南北通透 满五唯一 商品房 户型好,88.66平米,826万,"93,165元/平"
阳光丽景 南北通沟三居室 高楼层  视野采光好,141.48平米,2480万,"175,290元/平"
丽水莲花 西南北全明格局三居室 边户 09年 诚心出售,139.13平米,1820万,"130,813元/平"
西便门内大街79号院 兵器五院央产房 南北通透采光充足,58.29平米,580万,"99,503元/平"
陶然亭白纸坊平原里小区 南北通透三居室 采光无遮挡,90.52平米,925万,"102,188元/平"
莲花池东路24号院正规方正一居室+建成年代2000年,58.18平米,636万,"109,316元/平"
小马厂东里 2室1厅 南,71.49平米,720万,"100,714元/平"
铁二区  满五年单位分房两居室  中间楼层,57.8平米,826万,"142,907元/平"
车站西街1号院 2室1厅 东南,107.9平米,950万,"88,045元/平"
二环边，满五年唯一，有大客厅正规2居，低单价和总价,60.99平米,535万,"87,720元/平"
新街口西里三区    中间楼层   三居室,83.6平米,1033万,"123,565元/平"
北露园 财政局家属楼 南北通透三居室  中间层 精装修,110.5平米,1413万,"127,874元/平"
金融街 新文化街 南北三居室 电梯直达,76.9平米,1335万,"173,603元/平"
西城区、广华轩、东南两居、有钥匙、交通便利,108.55平米,1099万,"101,244元/平"
莲花池东路 东南向三居室 单位福利分房,85.9平米,1080万,"125,728元/平"
展览路 北营房东里小区 朝南明厨明卫 无遮挡,39.2平米,610万,"155,613元/平"
房子是远见名苑正规一居室，满五年唯一，中间楼层视野,54.86平米,608万,"110,828元/平"
月坛北街甲1号院，三室一厅，全明格局，发改委央产。,79.5平米,980万,"123,271元/平"
什刹海富国里小区南北通透两居室采光好户型方正,57.4平米,930万,"162,021元/平"
德胜门 教场口6号院楼龄新 客厅卧室都朝南,55.17平米,860万,"155,882元/平"
红莲北里 中间楼层 南北通透  全明格局,61.18平米,645万,"105,427元/平"
西城格调小区 2007年建成，临地铁改善大两居,108.31平米,1090万,"100,638元/平"
黄寺大街24号院 南北两居室 满五年央产已办随时签约,59.4平米,930万,"156,566元/平"
西城区南北通透三居室，板楼，密度低,148.17平米,1666万,"112,439元/平"
六铺炕一区 中石油家属楼 带电梯两卫生间 南北三居室,170.6平米,2680万,"157,093元/平"
月坛西街 南北通透 采光好 中间楼层 格局方正,98.5平米,1650万,"167,513元/平"
黄寺大街24号院 小区南门就是人定湖公园 98年楼龄,97.5平米,1550万,"158,975元/平"
西直门外南路24号院 ，带电梯三居，小区可停车,88.9平米,1058万,"119,011元/平"
教场口街9号院 西南正规三居室 高楼层 视野采光好,84.92平米,1230万,"144,843元/平"
新上房源 真武庙三条一号院 广播电台家属院 满五唯一,66.3平米,899万,"135,596元/平"
建功北里二区东向一居室，中间层，业主诚心出售,48.33平米,540万,"111,732元/平"
四平园 新上南向一居 中间楼层 视野好 诚意出售,47.28平米,643万,"135,999元/平"
三里河一区 发改委家属院 南北通透,58.84平米,850万,"144,460元/平"
宣武门西大街 长椿街地铁 电梯直达 不临街,54.25平米,666万,"122,765元/平"
右安门内西街甲10号院 2室2厅 南,56.1平米,665万,"118,539元/平"
"西城区，满五唯一,南北通透两居室,采光好,格局方正",59.44平米,700万,"117,766元/平"
国开行家属院，南露园，正规一室一厅,50.6平米,620万,"122,530元/平"
车中外文局家属楼 六层板楼带电梯,61.23平米,860万,"140,455元/平"
房子是满五年唯一商品房 精装修 楼前没有遮挡 采光好,60.7平米,905万,"149,094元/平"
西城区 荣丰20083期复式 满五年唯一住房 费用少,30.31平米,530万,"174,860元/平"
西城 阜成门 百万庄大街 融城 南北西 精装修电梯大2居,115.88平米,1630万,"140,663元/平"
新风街1号院 环境优美，电梯房小区，满五年央产房,109.78平米,1950万,"177,628元/平"
冠英园西区 正规大一居室，精装修，带电梯,53.31平米,725万,"135,997元/平"
白云桥小马厂东里采光足视野好东南向两居室,67.58平米,705万,"104,321元/平"
南运巷 满五年唯一商品房 电梯直达 钢混 业主诚心出售,58.97平米,580万,"98,356元/平"
凯迪尚府南北三居室 满五唯一 高层采光好诚心出售,144.67平米,2100万,"145,158元/平"
陶然亭白纸坊平原里小区南北通透满五年家庭唯一住房,66.07平米,758万,"114,727元/平"
三层 南北通透 北营房西里 满五年唯一 无遮挡不临街,57.5平米,805万,"140,000元/平"
新外大街6号院*央产房满五年唯一*适合贷款,61平米,788万,"129,181元/平"
车公庄地铁 双南带电梯两居室 满五年 随时看房,57.1平米,780万,"136,603元/平"
宣武艺园 房本满五年 层高3.3米 精装修,72.15平米,768万,"106,445元/平"
西便门双南向电梯两居 满五年 无遮挡 产权清晰,55.55平米,617万,"111,072元/平"
西二环改造模范小区，户型通透，诚心出售,53.68平米,550万,"102,460元/平"
环保部家属院，央产房，大客厅带明窗，环境好,65.8平米,945万,"143,618元/平"
满五年唯一，南北通透，采光通风好，随时签约，楼层好,84平米,1280万,"152,381元/平"
西豪逸景东西北两居室+厨房和卫生间都有窗户,88.07平米,836万,"94,925元/平"
西直门二环内，精装两居室，南北通透,57.5平米,800万,"139,131元/平"
六铺炕一区 1994年楼龄 精装修 东西通透 采光好,66.7平米,970万,"145,428元/平"
房本满五年，南北向，低楼层三居,92.49平米,1230万,"132,988元/平"
不含阳台面积 精装修 明厨明卫有客厅 精装可协商留下,45.6平米,820.5万,"179,935元/平"
红莲中里 近达官营地铁 马连道商圈 随时可看,60.08平米,669万,"111,352元/平"
房子满五年，唯一，商品房，，带电梯，年代新,45.6平米,679万,"148,904元/平"
三里河三区，满五年核工业部央产房,165.7平米,2650万,"159,928元/平"
车站西街15号院 2室1厅 南,39.18平米,478万,"122,002元/平"
新外大街28号院南北通透电梯大两居,79平米,1310万,"165,823元/平"
德胜门 急售 新风南里 精装修 格局好 两居室,56.7平米,885万,"156,085元/平"
玉廊园满五年家庭名下唯一 南北通透采光视野好,58.1平米,950万,"163,512元/平"
新明胡同 中高层带电梯 2居 看房随时,58.3平米,825万,"141,510元/平"
三四零一小区   满五唯一  视野好  光线好,65.84平米,759万,"115,280元/平"
阳光丽景 满五唯一商品房，南北通透，看房方便,141.48平米,2546万,"179,955元/平"
远见国际公寓 满五唯一 楼旁边就是7号线达官营地铁站,48.79平米,478万,"97,971元/平"
右安门内西街甲2号院    05年3居两卫  落地窗,155.83平米,1500万,"96,259元/平"
2009年封闭社区人车分流方正四居 安静不临街,275.33平米,2690万,"97,701元/平"
官园，阜成门，2003年楼龄，电梯直达，满五唯一商品房,76.85平米,808万,"105,140元/平"
航空航天家属院 小区好  全天采光  一家三口太温馨,57.7平米,920万,"159,446元/平"
西城欧园朝北大阳台一居，满五唯一，精装修随时可签,43.26平米,503万,"116,274元/平"
宣西大街，南向一居室，户型方正，采光好，无遮挡,40.23平米,540万,"134,229元/平"
满五年唯一视野宽阔采光充足配套设施齐全交通便利。,56.8平米,890万,"156,691元/平"
相当于满五唯一精装南北2居5层采光视野好 房屋状况好,53.8平米,595万,"110,595元/平"
槐柏树街 南北通透 卧室全南 精装修 不临街,78.2平米,888万,"113,555元/平"
天桥北里 明厨明卫 东西通透 一居室 中间楼层 采光好,50.3平米,540万,"107,356元/平"
白纸坊 恬心家园 满五唯一东北向两居室,87.57平米,830万,"94,782元/平"
西城 广外 天宁寺中间楼层两居室,60.99平米,550万,"90,179元/平"
红莲南里 小两居 带客厅 无遮挡,46.51平米,525万,"112,879元/平"
店长推荐：明厨明卫，精装高楼层，采光好，视野开阔,94.3平米,820万,"86,957元/平"
荣丰东南大复式，视野开阔，两面有窗，满五唯一,51.19平米,723万,"141,239元/平"
月坛 金融街 南向电梯三居室 单价低,87.1平米,1018万,"116,878元/平"
广安门 红居斜街4号院 低楼层 两居室 东西通透 莲花河,54.28平米,548万,"100,958元/平"
新外大街10号院  一层带院精装两居,45.8平米,800万,"174,673元/平"
善果胡同2号院 满五年 诚意出售,53.07平米,628万,"118,335元/平"
百万庄中里 1994年建成 南北通透 中间楼层 采光好,62.9平米,845万,"134,341元/平"
金融街 月坛 西南三居室 小区好,69.6平米,880万,"126,437元/平"
广安门外南小红庙熔炼厂宿舍精装急售精装两居室,64.56平米,569万,"88,136元/平"
铁二区 满五年成本价房 南北通透低楼层 户型方正,60.3平米,860万,"142,621元/平"
新上！甲8号院，双南全明两居，满五唯一，停车方便！,60.2平米,868万,"144,187元/平"
1995年   双南2居  采光好  中间层  有钥匙,61.7平米,845万,"136,953元/平"
西城德胜门*正规两居室*出行方便,61平米,785万,"128,689元/平"
鸭子桥北里 2室0厅 南 北,44.01平米,515万,"117,019元/平"
三里河三区 三里河南三区小区  三里河,65.5平米,830万,"126,718元/平"
榆树馆 朝南向两居 中间楼层 带电梯 无遮挡 视野开阔,66.9平米,829万,"123,917元/平"
店长推荐 满五年唯一 东南向 户型方正,96.3平米,1150万,"119,419元/平"
西单天安门，兵器部中楼层，南北两居双阳台，采光好！,74.6平米,1130万,"151,475元/平"
荣丰二期南向复式 精装修 可以贷款,32.5平米,498万,"153,231元/平"
清芷园，满五年成本价，停车方便。,74.88平米,775万,"103,499元/平"
人定湖西里，公园旁边的小区，交通方便,57.9平米,810万,"139,897元/平"
荣丰2008诚心出售随时签约看房方便,39.48平米,515万,"130,446元/平"
如意里  南北向 两居室 采光好,58.1平米,680万,"117,040元/平"
马连道路5号院 全南两居 近地铁,54.03平米,555万,"102,721元/平"
西城区二环内 国资委社区 户型好管理好 环境好 精装修,103.74平米,1170万,"112,782元/平"
德胜里一区全南向2居2层满5年家庭唯一住房,57.2平米,838万,"146,504元/平"
国家工商总局家属楼、不临街、满五年央产、电梯3居,71平米,1050万,"147,888元/平"
牛街南北通透正规两居，采光好，中间层，1998年建成,71.55平米,688万,"96,157元/平"
月坛南街北里，业主诚心售房，双南向大卧室,70.5平米,956万,"135,603元/平"
阜成门外北街   低楼层两居室,46.4平米,630万,"135,776元/平"
西城双旗杆东里 南北通透两居室 中间层 管理好,59.4平米,908万,"152,862元/平"
此房在业主名下满五年，看房方便，业主诚心出售,50.86平米,665万,"130,752元/平"
光泽胡同 南北通透 低楼层 安静不临街,58.1平米,830万,"142,858元/平"
西直门内大街 南向两居 电梯 精装修,63平米,965万,"153,175元/平"
月坛北街    85年  南北通透,51.8平米,669万,"129,151元/平"
马连道中里三区，朝南三室一厅，满五年房改房，没遮挡,77.18平米,875万,"113,372元/平"
百万庄大街乙21号院 带正规客厅两居室 无浪费面积,66.8平米,900万,"134,731元/平"
冠英园小区，有电梯，高楼层视野好，近地铁,53.31平米,739万,"138,624元/平"
