名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·开鲁三村 2室1厅 南,杨浦,中原,开鲁三村,65.65,南,2室1厅1卫,5800
整租·新家园路30弄 2室1厅 南,松江,泗泾,新家园路30弄,66.50,南,2室1厅1卫,4200
整租·中浩云花园 1室1厅 南,普陀,万里,中浩云花园,59.45,南,1室1厅1卫,6500
整租·久耕小区 2室1厅 东/北/东北,虹口,北外滩,久耕小区,30.80,东 北 东北,2室1厅1卫,7000
整租·虹梅南路96弄 2室1厅 南,徐汇,华东理工,虹梅南路96弄,69.64,南,2室1厅1卫,5000
整租·信达蓝爵 2室2厅 南,松江,松江大学城,信达蓝爵,82.20,南,2室2厅1卫,4800
整租·中集金地美兰城二期北区 3室2厅 南/北,宝山,罗店,中集金地美兰城二期北区,90.53,南 北,3室2厅1卫,6500
整租·星苑小区 1室1厅 南,虹口,凉城,星苑小区,35.69,南,1室1厅1卫,4200
整租·鹤庆路58弄 2室2厅 南,闵行,老闵行,鹤庆路58弄,101.70,南,2室2厅2卫,5000
整租·淞南六村西区 2室2厅 东,宝山,淞南,淞南六村西区,70.46,东,2室2厅1卫,6000
整租·德州四村 1室0厅 南/北,浦东,世博,德州四村,31.30,南 北,1室0厅1卫,4500
整租·双阳大楼 2室1厅 西南,杨浦,控江路,双阳大楼,73.28,西南,2室1厅1卫,6500
整租·育秀八区 2室2厅 南,奉贤,南桥,育秀八区,87.13,南,2室2厅1卫,2600
整租·西湖苑 1室0厅 南,闵行,莘庄北广场,西湖苑,32.64,南,1室0厅1卫,3000
整租·涵清苑 1室1厅 南,浦东,三林,涵清苑,58.67,南,1室1厅1卫,6750
整租·延吉四村 2室1厅 南,杨浦,黄兴公园,延吉四村,50.27,南,2室1厅1卫,4800
整租·莲溪五村 2室1厅 南,浦东,北蔡,莲溪五村,64.29,南,2室1厅1卫,4000
整租·东力新村 1室1厅 南,浦东,高行,东力新村,43.66,南,1室1厅1卫,4200
整租·共康七村 3室1厅 南/北,宝山,共康,共康七村,78.80,南 北,3室1厅1卫,5500
整租·盘古嘉德 3室2厅 南,嘉定,嘉定新城,盘古嘉德,145.13,南,3室2厅1卫,6500
整租·海滨三村 1室1厅 南,宝山,淞宝,海滨三村,35.46,南,1室1厅1卫,3300
整租·保利蔚蓝林语 3室2厅 南/北,浦东,临港新城,保利蔚蓝林语,96.55,南 北,3室2厅2卫,5500
整租·三门路510弄 1室1厅 南,杨浦,五角场,三门路510弄,49.79,南,1室1厅1卫,5500
整租·宝昌路632弄 2室1厅 南,静安,西藏北路,宝昌路632弄,51.00,南,2室1厅1卫,5200
整租·海滨六村 1室1厅 南,宝山,淞宝,海滨六村,42.05,南,1室1厅1卫,3800
整租·万科金域澜湾鹭语墅 2室2厅 南/北,浦东,临港新城,万科金域澜湾鹭语墅,89.00,南 北,2室2厅2卫,4000
整租·裕德路66弄 1室0厅 东北,徐汇,徐家汇,裕德路66弄,28.72,东北,1室0厅1卫,4000
整租·凯鹏国际大厦 2室1厅 东/东南,静安,西藏北路,凯鹏国际大厦,78.00,东 东南,2室1厅1卫,7500
整租·万航渡路174-190号(双) 1室0厅 东北,静安,静安寺,万航渡路174-190号(双),30.08,东北,1室0厅1卫,5700
整租·桃源艺筑 1室1厅 南,浦东,惠南,桃源艺筑,52.09,南,1室1厅1卫,2200
整租·莘南花苑一村 1室1厅 南,闵行,莘庄南广场,莘南花苑一村,57.35,南,1室1厅1卫,5000
整租·海悦华庭 2室1厅 南,浦东,杨思前滩,海悦华庭,86.00,南,2室1厅1卫,12000
整租·晨兴公寓 1室1厅 南,青浦,夏阳,晨兴公寓,48.82,南,1室1厅1卫,2100
整租·呼玛四村 1室1厅 南,宝山,张庙,呼玛四村,41.32,南,1室1厅1卫,3800
整租·新湖明珠城（三期） 1室2厅 南,普陀,武宁,新湖明珠城（三期）,89.34,南,1室2厅1卫,10500
整租·天山二村 1室0厅 南,长宁,中山公园,天山二村,38.00,南,1室0厅1卫,5600
整租·绿地和苑 2室2厅 南,嘉定,嘉定新城,绿地和苑,91.87,南,2室2厅1卫,4500
整租·大木小区 1室1厅 南,徐汇,斜土路,大木小区,36.05,南,1室1厅1卫,5000
整租·慧芝湖花园（一二期） 4室1厅 南,静安,大宁,慧芝湖花园（一二期）,132.20,南,4室1厅1卫,17500
整租·青春驿站 1室1厅 南/北,松江,九亭,青春驿站,63.35,南 北,1室1厅1卫,3500
整租·罗阳一村 2室1厅 南,闵行,梅陇,罗阳一村,70.70,南,2室1厅1卫,5000
整租·仁恒锦绣世纪 3室2厅 南/北,浦东,三林,仁恒锦绣世纪,100.06,南 北,3室2厅2卫,8500
整租·毕加索小镇(一期)(公寓) 3室2厅 南/北,浦东,唐镇,毕加索小镇(一期)(公寓),166.00,南 北,3室2厅1卫,10000
整租·锦绣小区 1室1厅 南,浦东,联洋,锦绣小区,48.95,南,1室1厅1卫,5000
