名称,区,板块,具体地址,面积（㎡）,朝向,房型,租价（元/月）
整租·星汇蓝湾 1室0厅 北,鼎城区,桥南,星汇蓝湾,35.00,北,1室0厅1卫,950
整租·芙蓉生活一区 1室1厅 南/西南,武陵区,三岔路,芙蓉生活一区,45.00,南 西南,1室1厅1卫,900
整租·万达湖公馆D区 1室1厅 南,武陵区,白马湖,万达湖公馆D区,25.00,南,1室1厅1卫,800
整租·永乐花园 1室0厅 北,武陵区,宏大,永乐花园,20.00,北,1室0厅1卫,550
整租·南城天街 1室1厅 东,鼎城区,桥南,南城天街,42.80,东,1室1厅1卫,1000
整租·聚宝安置小区 1室1厅 南,武陵区,五强溪,聚宝安置小区,30.00,南,1室1厅1卫,350
整租·星汇蓝湾 1室1厅 北,鼎城区,桥南,星汇蓝湾,35.00,北,1室1厅1卫,950
整租·龙港新天地 1室1厅 南/北,武陵区,三岔路,龙港新天地,45.00,南 北,1室1厅1卫,800
整租·星汇蓝湾 1室1厅 北,鼎城区,桥南,星汇蓝湾,31.00,北,1室1厅1卫,1000
整租·欢乐美寓 1室1厅 南,武陵区,火车站,欢乐美寓,42.00,南,1室1厅1卫,1050
整租·新四村 1室1厅 南,武陵区,三闾,新四村,50.00,南,1室1厅1卫,550
整租·蓝钻公寓 1室1厅 南,武陵区,高山街,蓝钻公寓,32.00,南,1室1厅1卫,1000
整租·三一翡翠湾 1室1厅 南,武陵区,三闾,三一翡翠湾,25.00,南,1室1厅1卫,950
整租·蝴蝶公寓 1室1厅 南,武陵区,鸿升,蝴蝶公寓,30.00,南,1室1厅1卫,500
整租·高峰安置小区 1室1厅 南,武陵区,火车站,高峰安置小区,30.00,南,1室1厅1卫,400
整租·新四村 1室1厅 东南,武陵区,三闾,新四村,50.00,东南,1室1厅1卫,550
整租·东城尚品 1室1厅 南,武陵区,甘露寺,东城尚品,45.00,南,1室1厅1卫,800
整租·华邦国际 1室1厅 南,鼎城区,桥南,华邦国际,48.16,南,1室1厅1卫,1000
整租·新华大厦 1室0厅 北,武陵区,高山街,新华大厦,50.00,北,1室0厅1卫,1000
整租·天润广场 1室1厅 南,武陵区,柳叶湖,天润广场,47.00,南,1室1厅1卫,1200
整租·粮食局西门宿舍 1室1厅 南,武陵区,北站,粮食局西门宿舍,47.00,南,1室1厅1卫,1000
整租·乐活里公寓 1室1厅 北,武陵区,芷兰,乐活里公寓,43.00,北,1室1厅1卫,1000
整租·泰达春天里 1室1厅 南,武陵区,火车站,泰达春天里,45.00,南,1室1厅1卫,1200
整租·南城天街 1室0厅 北,鼎城区,桥南,南城天街,45.00,北,1室0厅1卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,45.00,南,1室1厅1卫,1100
整租·都市捷座 1室1厅 东,武陵区,三岔路,都市捷座,35.00,东,1室1厅1卫,1200
整租·都市捷座 1室1厅 东,武陵区,三岔路,都市捷座,35.00,东,1室1厅1卫,1100
整租·豪丽苑小区 1室0厅 南,武陵区,三岔路,豪丽苑小区,35.83,南,1室0厅1卫,1250
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,42.00,南,1室1厅1卫,1200
整租·南城天街 1室0厅 南,鼎城区,桥南,南城天街,45.00,南,1室0厅1卫,900
整租·泰达春天里 1室1厅 南,武陵区,火车站,泰达春天里,45.00,南,1室1厅1卫,1200
整租·南城天街 1室0厅 北,鼎城区,桥南,南城天街,45.00,北,1室0厅1卫,1000
整租·瞰天下 1室1厅 南/北,武陵区,步行街,瞰天下,47.00,南 北,1室1厅1卫,800
整租·新邦壹品 1室1厅 南,武陵区,火车站,新邦壹品,50.00,南,1室1厅1卫,1200
整租·财富广场 1室1厅 南,鼎城区,桥南,财富广场,50.00,南,1室1厅1卫,950
整租·浙商广场 1室1厅 南,武陵区,紫桥,浙商广场,45.00,南,1室1厅1卫,1200
整租·星语林创客大街 1室1厅 南,武陵区,柳叶湖,星语林创客大街,36.91,南,1室1厅1卫,1200
整租·永乐花园 1室1厅 南,武陵区,宏大,永乐花园,40.00,南,1室1厅1卫,600
整租·泰达春天里 1室1厅 南,武陵区,火车站,泰达春天里,50.00,南,1室1厅1卫,1200
整租·星语林创客大街 1室1厅 南/北,武陵区,柳叶湖,星语林创客大街,43.58,南 北,1室1厅1卫,800
整租·蝴蝶公寓 1室1厅 南/北,武陵区,鸿升,蝴蝶公寓,40.00,南 北,1室1厅1卫,600
整租·城投F1公寓 1室1厅 南,武陵区,火车站,城投F1公寓,33.87,南,1室1厅1卫,1000
整租·柳都水语 1室0厅 南,武陵区,火车站,柳都水语,25.00,南,1室0厅1卫,600
整租·鼎喜大厦 1室0厅 南,武陵区,文理学院,鼎喜大厦,45.00,南,1室0厅0卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,38.00,南,1室1厅1卫,1200
整租·星语林创客大街 1室1厅 南,武陵区,柳叶湖,星语林创客大街,43.00,南,1室1厅1卫,1200
整租·金色晓岛 1室1厅 南/北,武陵区,芷兰,金色晓岛,30.00,南 北,1室1厅1卫,1200
整租·南城天街 1室0厅 北,鼎城区,桥南,南城天街,45.00,北,1室0厅1卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,42.00,南,1室1厅1卫,1100
整租·政府三院宿舍 1室1厅 南,武陵区,紫桥,政府三院宿舍,45.00,南,1室1厅1卫,1100
整租·芙蓉生活小区 1室0厅 南/北,武陵区,三岔路,芙蓉生活小区,40.00,南 北,1室0厅1卫,800
整租·新邦壹品 1室1厅 南,武陵区,火车站,新邦壹品,45.00,南,1室1厅1卫,1200
整租·水榭花城西城 1室1厅 复式 东南,武陵区,滨湖公园,水榭花城西城,30.00,东南,1室1厅1卫,1200
整租·南城天街 1室0厅 南,鼎城区,桥南,南城天街,45.00,南,1室0厅1卫,1000
整租·丹阳楼公寓 1室1厅 南,武陵区,宏大,丹阳楼公寓,47.00,南,1室1厅1卫,1100
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,45.00,南,1室1厅1卫,1100
整租·新亚国际 1室1厅 南,武陵区,高山街,新亚国际,50.00,南,1室1厅1卫,1100
整租·财富广场 1室0厅 南,鼎城区,桥南,财富广场,44.00,南,1室0厅1卫,900
整租·万达湖公馆C区 1室1厅 南,武陵区,白马湖,万达湖公馆C区,25.00,南,1室1厅1卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,50.00,南,1室1厅1卫,1100
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,38.00,南,1室1厅1卫,1200
整租·星语林创客大街 1室1厅 南,武陵区,柳叶湖,星语林创客大街,43.00,南,1室1厅1卫,1200
整租·金色晓岛 1室1厅 南/北,武陵区,芷兰,金色晓岛,30.00,南 北,1室1厅1卫,1200
整租·南城天街 1室0厅 北,鼎城区,桥南,南城天街,45.00,北,1室0厅1卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,42.00,南,1室1厅1卫,1100
整租·政府三院宿舍 1室1厅 南,武陵区,紫桥,政府三院宿舍,45.00,南,1室1厅1卫,1100
整租·芙蓉生活小区 1室0厅 南/北,武陵区,三岔路,芙蓉生活小区,40.00,南 北,1室0厅1卫,800
整租·新四村 1室1厅 南,武陵区,三闾,新四村,50.00,南,1室1厅1卫,800
整租·南城天街 1室0厅 东,鼎城区,桥南,南城天街,45.00,东,1室0厅1卫,1100
整租·芙蓉国际公馆 1室0厅 南,武陵区,白马湖,芙蓉国际公馆,40.00,南,1室0厅1卫,1200
整租·蓝钻公寓 1室1厅 南,武陵区,高山街,蓝钻公寓,43.10,南,1室1厅1卫,1200
整租·仙女湖步行街 1室1厅 南,鼎城区,桥南,仙女湖步行街,50.00,南,1室1厅1卫,900
整租·南城天街 1室0厅 南,鼎城区,桥南,南城天街,45.00,南,1室0厅1卫,1100
整租·星语林创客大街 1室1厅 南,武陵区,柳叶湖,星语林创客大街,43.58,南,1室1厅1卫,1200
整租·仙女湖步行街 1室1厅 南,鼎城区,桥南,仙女湖步行街,50.00,南,1室1厅1卫,900
整租·房聚江南郡 1室0厅 西,鼎城区,桥南,房聚江南郡,30.00,西,1室0厅1卫,650
整租·丹阳楼公寓 1室1厅 南,武陵区,宏大,丹阳楼公寓,45.00,南,1室1厅1卫,1100
整租·碧桂园十里公园 1室1厅 南,鼎城区,德山,碧桂园十里公园,39.00,南,1室1厅1卫,900
整租·新邦壹品 1室1厅 南,武陵区,火车站,新邦壹品,45.00,南,1室1厅1卫,1200
整租·水榭花城西城 1室1厅 复式 东南,武陵区,滨湖公园,水榭花城西城,30.00,东南,1室1厅1卫,1200
整租·南城天街 1室0厅 南,鼎城区,桥南,南城天街,45.00,南,1室0厅1卫,1000
整租·丹阳楼公寓 1室1厅 南,武陵区,宏大,丹阳楼公寓,47.00,南,1室1厅1卫,1100
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,45.00,南,1室1厅1卫,1100
整租·新亚国际 1室1厅 南,武陵区,高山街,新亚国际,50.00,南,1室1厅1卫,1100
整租·财富广场 1室0厅 南,鼎城区,桥南,财富广场,44.00,南,1室0厅1卫,900
整租·万达湖公馆C区 1室1厅 南,武陵区,白马湖,万达湖公馆C区,25.00,南,1室1厅1卫,1000
整租·南城天街 1室1厅 南,鼎城区,桥南,南城天街,50.00,南,1室1厅1卫,1100
整租·家饰建材城 1室1厅 南,武陵区,火车站,家饰建材城,45.00,南,1室1厅1卫,900
整租·光明巷社区居委会 1室1厅 南,武陵区,北站,光明巷社区居委会,47.00,南,1室1厅1卫,800
整租·吉春广场 1室0厅 南,武陵区,高山街,吉春广场,32.00,南,1室0厅1卫,1200
整租·蓝钻公寓 1室1厅 南,武陵区,高山街,蓝钻公寓,41.50,南,1室1厅1卫,1000
整租·南城天街 1室0厅 南,鼎城区,桥南,南城天街,45.00,南,1室0厅1卫,1000
整租·南城天街 1室0厅 东,鼎城区,桥南,南城天街,45.00,东,1室0厅1卫,800
